feature_id,account_id,transaction_count,successful_transactions,failed_transactions,failed_tx_ratio,total_volume,borrow_count,borrow_volume,repay_count,repay_volume,repayment_ratio,deposit_volume,withdrawal_volume,net_deposit_flow,unique_counterparties,unique_tokens,unique_protocols,active_days,historical_liquidation_count
15,15,10,10,0,0.0,31164.356023,1,3332.966609,3,3029.114457,0.908834,9444.553211,6780.966595,2663.586616,3,5,4,10,0
16,16,7,7,0,0.0,28883.347501,1,8845.907432,4,8620.767307,0.974549,0.0,0.0,0.0,2,5,4,7,0
17,17,3,3,0,0.0,13446.785519,0,0.0,0,0.0,0.0,0.0,7980.450778,-7980.450778,2,2,3,3,0
18,18,3,3,0,0.0,14364.251727,1,3751.337746,1,3303.190474,0.880537,0.0,0.0,0.0,1,2,1,3,0
19,19,8,7,1,0.125,16219.884923,1,1848.607255,5,1838.214817,0.994378,0.0,0.0,0.0,2,5,4,8,0
20,20,1,0,1,1.0,9141.630403,0,0.0,0,0.0,0.0,9141.630403,0.0,9141.630403,0,1,1,1,0
21,21,10,9,1,0.1,62131.701999,1,7784.609356,2,6021.480828,0.773511,5683.831123,18510.091166,-12826.260043,4,5,3,10,0
22,22,11,11,0,0.0,51136.949755,1,3832.071807,2,2187.153849,0.57075,16006.743293,4812.115631,11194.627662,3,5,4,11,1
23,23,7,7,0,0.0,31164.212965,4,14773.512546,1,5024.684927,0.340114,0.0,9184.085361,-9184.085361,0,4,2,7,1
24,24,6,5,1,0.166667,14414.094924,2,5060.109089,2,1314.24076,0.259726,0.0,101.123928,-101.123928,1,3,3,6,0
25,25,10,10,0,0.0,29800.42096,2,10310.986385,5,10265.093595,0.995549,0.0,7008.143702,-7008.143702,2,5,4,8,0
26,26,5,5,0,0.0,25551.40023,0,0.0,0,0.0,0.0,0.0,19459.422286,-19459.422286,2,5,2,5,0
27,27,9,9,0,0.0,47730.817675,0,0.0,0,0.0,0.0,15499.170106,0.0,15499.170106,6,4,4,9,0
28,28,8,7,1,0.125,41608.854823,1,3502.211381,1,794.165813,0.226761,17696.33249,0.0,17696.33249,2,3,4,8,1
29,29,7,7,0,0.0,26630.360238,2,10932.242827,2,3221.340213,0.294664,0.0,0.0,0.0,2,2,4,7,1
30,30,6,6,0,0.0,22447.032433,1,543.147792,2,541.044696,0.996128,7815.695451,0.0,7815.695451,2,5,3,6,0
31,31,11,11,0,0.0,61110.602899,2,14113.225535,2,10724.257047,0.759873,7151.510897,5763.909783,1387.601114,3,4,4,10,1
32,32,5,5,0,0.0,24482.318891,0,0.0,0,0.0,0.0,4991.901454,3935.264221,1056.637233,2,3,3,5,0
33,33,3,3,0,0.0,12888.510411,0,0.0,0,0.0,0.0,0.0,12888.510411,-12888.510411,0,2,3,3,0
34,34,5,5,0,0.0,24621.025451,0,0.0,0,0.0,0.0,9177.676135,0.0,9177.676135,4,4,3,5,0
35,35,8,8,0,0.0,40261.907661,0,0.0,0,0.0,0.0,7951.035832,12039.306609,-4088.270777,5,3,3,7,0
36,36,6,6,0,0.0,26617.889325,1,7414.708332,1,3336.487152,0.449982,0.0,1974.192637,-1974.192637,3,4,3,6,0
37,37,4,4,0,0.0,11653.63113,0,0.0,0,0.0,0.0,194.477101,0.0,194.477101,3,4,3,4,0
38,38,3,3,0,0.0,17085.396953,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,1,2,3,0
39,39,7,7,0,0.0,20814.249408,1,3785.575216,2,3709.899645,0.980009,4189.821691,2291.525118,1898.296573,2,5,4,6,0
40,40,7,7,0,0.0,40891.523515,0,0.0,0,0.0,0.0,0.0,10199.092513,-10199.092513,5,4,2,7,0
41,41,8,8,0,0.0,49047.499614,1,189.487962,0,0.0,0.0,5465.582478,0.0,5465.582478,6,4,3,8,0
42,42,7,7,0,0.0,10740.15541,1,626.613494,3,582.553011,0.929685,0.0,391.22159,-391.22159,2,4,2,7,0
43,43,6,5,1,0.166667,22447.984369,0,0.0,0,0.0,0.0,6649.072412,3521.454605,3127.617807,4,3,2,6,0
44,44,5,5,0,0.0,18595.669919,1,9548.768099,3,8627.049365,0.903472,0.0,419.852455,-419.852455,0,4,3,5,0
45,45,6,6,0,0.0,26130.029834,1,5243.199406,2,4892.098371,0.933037,0.0,0.0,0.0,3,4,3,6,0
46,46,6,5,1,0.166667,30098.470702,0,0.0,0,0.0,0.0,2027.838809,0.0,2027.838809,4,3,2,6,0
47,47,11,9,2,0.181818,50533.118722,0,0.0,0,0.0,0.0,14769.356073,60.459986,14708.896087,7,5,3,11,0
48,48,8,8,0,0.0,19482.96122,1,5794.793332,6,5790.185872,0.999205,0.0,0.0,0.0,1,4,4,8,0
49,49,5,5,0,0.0,24501.379061,0,0.0,0,0.0,0.0,14038.753353,7383.135139,6655.618214,1,4,3,5,0
50,50,6,6,0,0.0,35116.960833,0,0.0,0,0.0,0.0,0.0,9786.674497,-9786.674497,4,2,2,5,0
51,51,6,6,0,0.0,20762.336079,1,3841.167804,2,2712.556027,0.70618,6320.567431,0.0,6320.567431,2,4,4,6,0
52,52,6,6,0,0.0,25276.558604,0,0.0,0,0.0,0.0,3818.447231,0.0,3818.447231,4,3,2,6,0
53,53,7,7,0,0.0,28597.082836,1,5305.820598,3,5236.686033,0.98697,0.0,8029.435309,-8029.435309,2,4,3,6,0
54,54,7,7,0,0.0,28867.521193,2,13052.597454,3,4855.632213,0.372005,0.0,0.0,0.0,1,3,4,7,1
55,55,8,8,0,0.0,24627.476316,1,6655.647206,2,4775.462383,0.717505,0.0,7497.239828,-7497.239828,2,5,4,8,1
56,56,8,8,0,0.0,40482.20047,0,0.0,0,0.0,0.0,15079.057771,11739.301407,3339.756364,3,4,2,8,0
57,57,8,6,2,0.25,33748.722382,0,0.0,0,0.0,0.0,14209.185635,7793.40386,6415.781775,4,4,3,8,0
58,58,8,7,1,0.125,50902.710525,0,0.0,0,0.0,0.0,22564.925706,13908.12575,8656.799956,3,5,3,7,0
59,59,8,8,0,0.0,46790.002704,0,0.0,0,0.0,0.0,30766.186961,0.0,30766.186961,4,3,3,7,0
60,60,4,4,0,0.0,3253.524857,1,1693.085864,3,1560.438993,0.921654,0.0,0.0,0.0,0,3,2,4,0
61,61,8,8,0,0.0,50063.581189,3,13803.67177,0,0.0,0.0,9414.034984,0.0,9414.034984,4,4,4,7,0
62,62,5,5,0,0.0,16747.685238,1,3402.029696,2,2670.222794,0.784891,0.0,0.0,0.0,2,3,2,4,0
63,63,6,6,0,0.0,24773.553041,1,7067.260397,1,5947.130285,0.841504,2196.163011,7869.553361,-5673.39035,1,4,2,6,0
64,64,4,4,0,0.0,20031.905896,1,543.593194,0,0.0,0.0,7234.533116,0.0,7234.533116,2,3,2,4,0
65,65,4,4,0,0.0,21364.482358,0,0.0,0,0.0,0.0,0.0,8749.267945,-8749.267945,3,3,2,4,0
66,66,6,6,0,0.0,44733.48376,2,14298.849401,1,6727.760378,0.470511,14730.251128,0.0,14730.251128,1,4,3,6,0
67,67,9,8,1,0.111111,36763.050684,0,0.0,0,0.0,0.0,0.0,6754.606398,-6754.606398,8,5,3,8,0
68,68,8,8,0,0.0,21953.894654,4,18877.892945,0,0.0,0.0,0.0,0.0,0.0,3,3,3,8,1
69,69,8,8,0,0.0,38051.225729,1,6981.223717,1,5664.336869,0.811367,16046.949679,7800.299889,8246.64979,2,5,4,8,0
70,70,10,10,0,0.0,44269.763822,2,4601.131634,0,0.0,0.0,25289.461502,2478.207534,22811.253968,3,5,4,10,0
71,71,4,3,1,0.25,20319.215996,0,0.0,0,0.0,0.0,5892.082049,0.0,5892.082049,2,3,1,4,0
72,72,10,10,0,0.0,27393.33976,1,6467.195262,6,6365.182457,0.984226,4038.387034,0.0,4038.387034,2,5,3,10,0
73,73,10,10,0,0.0,50740.652281,2,8488.642836,0,0.0,0.0,18281.596751,5355.68844,12925.908311,3,4,4,9,1
74,74,9,9,0,0.0,17181.274849,1,4276.983522,6,3993.924122,0.933818,0.0,0.0,0.0,2,5,4,9,0
75,75,2,2,0,0.0,9463.00809,1,6258.390785,1,3204.617305,0.512051,0.0,0.0,0.0,0,2,2,2,0
76,76,7,7,0,0.0,16837.11869,1,2896.437662,3,2373.91574,0.819598,0.0,2341.250792,-2341.250792,2,3,3,7,0
77,77,10,10,0,0.0,55276.750468,1,5634.460051,0,0.0,0.0,16732.804234,9124.147961,7608.656273,3,4,3,10,1
78,78,7,7,0,0.0,27652.353025,1,3128.498421,2,2928.931191,0.93621,8012.509434,3499.472265,4513.037169,2,5,4,6,0
79,79,6,6,0,0.0,35042.549409,0,0.0,0,0.0,0.0,0.0,2490.128267,-2490.128267,5,4,2,5,0
80,80,8,7,1,0.125,44031.983722,0,0.0,0,0.0,0.0,4483.381388,14410.857475,-9927.476087,5,4,2,8,0
81,81,6,6,0,0.0,33185.132224,1,8772.366651,0,0.0,0.0,8497.295469,4394.173816,4103.121653,2,5,3,6,0
82,82,9,9,0,0.0,63481.194783,4,20549.127899,0,0.0,0.0,2557.117317,8335.611188,-5778.493871,2,5,4,8,1
83,83,7,7,0,0.0,43040.586876,0,0.0,0,0.0,0.0,9134.114114,16071.713539,-6937.599425,4,5,3,6,0
84,84,7,7,0,0.0,33595.857109,2,7084.601264,0,0.0,0.0,0.0,14778.671847,-14778.671847,3,3,4,6,0
85,85,10,10,0,0.0,32180.522493,1,2201.292665,2,1818.246631,0.82599,21370.073067,0.0,21370.073067,2,5,3,9,1
86,86,10,10,0,0.0,15689.948139,1,5698.710409,5,5676.937031,0.996179,2334.828877,1830.586434,504.242443,1,4,4,9,0
87,87,13,13,0,0.0,39776.188726,1,4448.82199,5,4445.82105,0.999325,2730.622614,13832.015053,-11101.392439,3,5,4,13,0
88,88,7,7,0,0.0,40562.774905,1,4636.984222,2,4469.721404,0.963929,6946.085783,8901.936528,-1955.850745,2,5,3,6,0
89,89,5,5,0,0.0,29014.416607,0,0.0,0,0.0,0.0,4703.542297,0.0,4703.542297,4,3,2,5,0
90,90,5,4,1,0.2,29711.147567,1,8507.774262,2,5073.779294,0.59637,0.0,9963.152899,-9963.152899,1,3,3,5,0
91,91,6,6,0,0.0,46352.402427,2,13376.210359,0,0.0,0.0,9225.866049,6280.827961,2945.038088,2,4,3,6,0
92,92,7,7,0,0.0,45473.370297,0,0.0,0,0.0,0.0,14427.751378,7152.03992,7275.711458,4,4,3,7,0
93,93,9,9,0,0.0,47156.866445,0,0.0,0,0.0,0.0,3702.557669,1466.196786,2236.360883,6,5,3,8,0
94,94,9,9,0,0.0,23543.676728,1,607.292323,4,607.259096,0.999945,0.0,0.0,0.0,4,5,3,9,0
95,95,5,5,0,0.0,28170.464622,1,2234.505885,1,1855.973294,0.830597,0.0,0.0,0.0,3,3,3,4,0
96,96,12,12,0,0.0,16570.195773,1,375.401509,8,375.18128,0.999413,0.0,1816.306563,-1816.306563,2,5,4,11,0
97,97,11,11,0,0.0,26319.215705,2,3679.925855,5,3100.713934,0.842602,0.0,15670.521502,-15670.521502,1,4,4,11,1
98,98,6,6,0,0.0,18138.205862,1,8824.222304,3,8818.022853,0.999297,0.0,399.420538,-399.420538,1,3,3,6,0
99,99,10,9,1,0.1,52262.901644,2,15809.705403,0,0.0,0.0,2810.505513,0.0,2810.505513,7,5,4,9,0
100,100,8,8,0,0.0,21519.999264,1,8513.116234,5,8133.411633,0.955398,0.0,0.0,0.0,1,3,4,8,1
101,101,10,10,0,0.0,37236.946001,4,15421.174986,2,1149.951002,0.07457,0.0,0.0,0.0,2,5,4,10,2
102,102,9,9,0,0.0,22262.589309,1,1441.08103,2,816.921943,0.566881,5385.265367,8034.847623,-2649.582256,2,5,4,9,0
103,103,8,8,0,0.0,37324.377656,1,6091.917496,1,1359.368617,0.223143,538.185122,8930.554702,-8392.36958,4,2,4,7,0
104,104,4,4,0,0.0,19819.134185,1,5425.167549,0,0.0,0.0,0.0,0.0,0.0,2,2,2,4,1
105,105,11,10,1,0.090909,47138.281848,1,8263.066106,5,8140.03519,0.985111,9952.453318,0.0,9952.453318,4,5,4,10,0
106,106,8,8,0,0.0,38383.853897,0,0.0,0,0.0,0.0,0.0,2558.536705,-2558.536705,7,4,3,8,0
107,107,6,6,0,0.0,26909.062265,1,3344.270111,0,0.0,0.0,11122.246659,5849.296259,5272.9504,2,4,3,6,0
108,108,5,5,0,0.0,20335.155292,0,0.0,0,0.0,0.0,1306.670767,2118.507001,-811.836234,3,2,2,5,0
109,109,7,7,0,0.0,34730.283991,1,4538.113658,1,1466.216004,0.323089,0.0,11254.951234,-11254.951234,3,2,2,6,0
110,110,4,4,0,0.0,22562.710853,3,15306.504277,0,0.0,0.0,0.0,0.0,0.0,0,3,4,4,1
111,111,6,6,0,0.0,10907.779992,0,0.0,0,0.0,0.0,445.166599,0.0,445.166599,5,3,2,6,0
112,112,7,7,0,0.0,32290.316812,0,0.0,0,0.0,0.0,6455.832542,8812.095539,-2356.262997,4,4,3,7,0
113,113,4,3,1,0.25,13690.888172,1,5313.604982,2,7510.600403,1.0,0.0,0.0,0.0,1,3,2,4,0
114,114,5,5,0,0.0,9690.171525,0,0.0,0,0.0,0.0,217.166846,5314.572103,-5097.405257,2,4,2,5,0
115,115,12,12,0,0.0,29822.248232,1,7471.715748,6,7470.109528,0.999785,3958.725379,7812.809229,-3854.08385,1,5,4,12,1
116,116,7,6,1,0.142857,14312.643063,1,346.41618,3,292.129153,0.84329,11420.009919,0.0,11420.009919,1,5,4,7,0
117,117,2,1,1,0.5,3510.407969,0,0.0,0,0.0,0.0,3510.407969,0.0,3510.407969,0,2,2,2,0
118,118,11,11,0,0.0,50742.453274,5,23143.667717,2,8683.376237,0.375194,0.0,0.0,0.0,2,4,4,10,2
119,119,4,4,0,0.0,22251.772853,0,0.0,0,0.0,0.0,0.0,4165.32904,-4165.32904,3,2,1,4,0
120,120,7,6,1,0.142857,31575.853473,0,0.0,0,0.0,0.0,0.0,3989.592252,-3989.592252,6,4,4,7,0
121,121,10,10,0,0.0,37280.762293,1,2242.777224,3,2222.065951,0.990765,18692.553978,3419.983902,15272.570076,2,5,3,10,0
122,122,3,3,0,0.0,14101.639513,1,4452.571724,1,1586.161288,0.356235,0.0,0.0,0.0,1,2,3,3,0
123,123,8,8,0,0.0,27729.665936,1,6405.346105,4,6402.096207,0.999493,0.0,4772.092445,-4772.092445,2,5,3,8,0
124,124,10,10,0,0.0,55091.150051,0,0.0,0,0.0,0.0,1754.067081,7896.932818,-6142.865737,8,4,2,9,0
125,125,4,4,0,0.0,12395.564119,0,0.0,0,0.0,0.0,2301.391032,0.0,2301.391032,3,4,1,4,0
126,126,11,11,0,0.0,65798.94959,0,0.0,0,0.0,0.0,16471.068316,3451.650844,13019.417472,7,5,3,11,0
127,127,8,7,1,0.125,54975.111721,0,0.0,0,0.0,0.0,33243.906029,0.0,33243.906029,3,4,3,8,0
128,128,4,4,0,0.0,19898.530103,4,19898.530103,0,0.0,0.0,0.0,0.0,0.0,0,2,3,4,0
129,129,4,4,0,0.0,12239.483715,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,2,2,3,0
130,130,7,6,1,0.142857,29469.670475,1,3762.396981,2,1983.693043,0.527242,8375.005401,5350.188804,3024.816597,2,4,4,7,0
131,131,5,5,0,0.0,26261.236662,0,0.0,0,0.0,0.0,3507.001792,9285.370367,-5778.368575,3,3,2,5,0
132,132,4,4,0,0.0,19348.321518,0,0.0,0,0.0,0.0,2893.269067,5725.590558,-2832.321491,2,2,3,4,0
133,133,9,9,0,0.0,39596.551585,0,0.0,0,0.0,0.0,11752.990483,6701.882034,5051.108449,5,4,4,9,0
134,134,9,9,0,0.0,44339.309923,1,4551.163838,1,2924.997906,0.642692,16617.584886,0.0,16617.584886,4,4,4,9,0
135,135,3,3,0,0.0,5013.247232,1,3655.835037,2,1357.412195,0.3713,0.0,0.0,0.0,0,2,2,3,0
136,136,6,6,0,0.0,50197.907871,4,26386.528661,0,0.0,0.0,0.0,8119.718214,-8119.718214,0,3,4,6,1
137,137,1,1,0,0.0,7985.725404,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0
138,138,12,12,0,0.0,54485.103345,4,26195.543477,3,9169.060382,0.350024,1531.041422,1049.967563,481.073859,3,4,4,12,0
139,139,4,4,0,0.0,37972.677106,1,9223.716804,0,0.0,0.0,9929.039054,0.0,9929.039054,2,4,2,4,0
140,140,6,6,0,0.0,23038.009839,0,0.0,0,0.0,0.0,0.0,4260.042021,-4260.042021,4,3,1,6,0
141,141,10,10,0,0.0,42604.969695,0,0.0,0,0.0,0.0,21791.117049,5689.088251,16102.028798,5,5,3,9,0
142,142,7,7,0,0.0,49843.373441,0,0.0,0,0.0,0.0,20713.219148,9424.840216,11288.378932,3,5,4,7,0
143,143,11,10,1,0.090909,61893.98541,0,0.0,0,0.0,0.0,23286.357652,16531.053047,6755.304605,4,5,4,10,0
144,144,6,6,0,0.0,26901.307395,0,0.0,0,0.0,0.0,3803.740545,0.0,3803.740545,5,3,3,6,0
145,145,8,7,1,0.125,28506.45077,1,370.766235,1,180.950151,0.488044,7751.385676,2291.694182,5459.691494,3,4,3,8,1
146,146,8,8,0,0.0,56456.258236,3,22704.069331,2,10601.672249,0.46695,0.0,5508.592199,-5508.592199,2,4,4,8,0
147,147,7,7,0,0.0,15371.446905,0,0.0,0,0.0,0.0,4605.572977,1454.628019,3150.944958,4,5,2,7,0
148,148,15,14,1,0.066667,89052.694965,0,0.0,0,0.0,0.0,21211.258375,26373.799084,-5162.540709,9,5,3,12,0
149,149,7,7,0,0.0,39931.06214,0,0.0,0,0.0,0.0,13423.893577,9762.048394,3661.845183,3,5,2,7,0
150,150,6,5,1,0.166667,14634.506882,1,5205.371096,1,921.138475,0.176959,324.231611,540.662223,-216.430612,2,2,3,6,0
151,151,4,3,1,0.25,22645.277449,0,0.0,0,0.0,0.0,354.859194,0.0,354.859194,3,2,2,4,0
152,152,4,4,0,0.0,18892.938255,0,0.0,0,0.0,0.0,0.0,12959.152201,-12959.152201,2,3,2,4,0
153,153,6,6,0,0.0,22455.689177,2,4790.031061,0,0.0,0.0,7088.88265,0.0,7088.88265,1,4,3,6,1
154,154,6,6,0,0.0,19912.125094,0,0.0,0,0.0,0.0,6211.436102,5957.349795,254.086307,2,4,4,6,0
155,155,3,3,0,0.0,21297.708419,1,9525.340749,0,0.0,0.0,0.0,0.0,0.0,2,3,2,3,0
156,156,4,4,0,0.0,17410.199868,0,0.0,0,0.0,0.0,0.0,9618.368623,-9618.368623,3,4,1,4,0
157,157,11,11,0,0.0,26545.530298,1,3102.274819,5,3069.302054,0.989371,9338.379689,4987.887597,4350.492092,2,5,4,11,1
158,158,4,4,0,0.0,20883.322531,1,8225.830275,2,5481.116733,0.66633,0.0,7176.375523,-7176.375523,0,3,3,4,0
159,159,13,11,2,0.153846,59927.880134,1,1562.031708,0,0.0,0.0,9843.415015,6797.275089,3046.139926,6,5,4,13,0
160,160,7,7,0,0.0,19944.815907,0,0.0,0,0.0,0.0,3237.096016,4341.252952,-1104.156936,3,4,3,7,0
161,161,8,8,0,0.0,31372.703663,4,19507.0031,1,3070.896078,0.157425,1096.169838,7561.099585,-6464.929747,1,4,4,8,0
162,162,5,5,0,0.0,24530.718498,0,0.0,0,0.0,0.0,4700.631475,5136.238099,-435.606624,2,3,3,5,0
163,163,8,8,0,0.0,29645.376355,1,8437.43255,5,8418.973213,0.997812,0.0,9441.682912,-9441.682912,1,4,3,8,0
164,164,5,5,0,0.0,28307.175132,0,0.0,0,0.0,0.0,0.0,2909.02978,-2909.02978,4,3,3,5,0
165,165,3,3,0,0.0,17814.441678,0,0.0,0,0.0,0.0,0.0,6850.780657,-6850.780657,2,3,2,3,0
166,166,7,7,0,0.0,29891.318582,1,5917.859102,3,5797.973432,0.979742,0.0,0.0,0.0,3,4,3,7,0
167,167,8,8,0,0.0,39565.475402,1,6170.669684,2,2903.365801,0.470511,9181.017644,5788.172867,3392.844777,3,4,4,7,0
168,168,6,6,0,0.0,36370.055971,0,0.0,0,0.0,0.0,17858.929293,8229.958854,9628.970439,3,4,3,5,0
169,169,5,5,0,0.0,28313.592223,0,0.0,0,0.0,0.0,5754.159845,0.0,5754.159845,4,3,2,5,0
170,170,10,10,0,0.0,46041.835619,0,0.0,0,0.0,0.0,8679.809211,2246.10544,6433.703771,7,4,4,10,0
171,171,3,3,0,0.0,18064.852042,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,2,1,3,0
172,172,5,5,0,0.0,35833.390096,0,0.0,0,0.0,0.0,0.0,16289.717098,-16289.717098,3,4,3,5,0
173,173,3,3,0,0.0,24986.007047,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,3,1,3,0
174,174,4,4,0,0.0,24459.814613,1,5693.94298,1,2822.254662,0.495659,15943.616971,0.0,15943.616971,0,3,2,3,0
175,175,5,5,0,0.0,25612.556424,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,4,2,4,0
176,176,6,6,0,0.0,23735.952979,3,11534.697793,0,0.0,0.0,573.447232,0.0,573.447232,1,2,3,6,1
177,177,5,4,1,0.2,15178.857524,0,0.0,0,0.0,0.0,0.0,7969.706829,-7969.706829,3,3,2,5,0
178,178,8,7,1,0.125,45125.005578,1,7633.867954,0,0.0,0.0,12950.516204,6103.238203,6847.278001,2,4,3,8,1
179,179,6,5,1,0.166667,19271.567647,0,0.0,0,0.0,0.0,9486.118731,0.0,9486.118731,5,3,2,6,0
180,180,6,6,0,0.0,22387.262346,2,2698.903568,1,2229.380053,0.826032,0.0,0.0,0.0,3,4,3,6,0
181,181,3,2,1,0.333333,15035.436775,1,9090.742246,2,5944.694529,0.653928,0.0,0.0,0.0,0,2,2,3,0
182,182,10,10,0,0.0,34822.906588,3,13343.503322,5,7192.231176,0.539006,8145.471126,0.0,8145.471126,0,4,4,9,1
183,183,7,7,0,0.0,29032.09572,0,0.0,0,0.0,0.0,3526.725958,6600.539898,-3073.81394,5,4,4,7,0
184,184,11,11,0,0.0,53096.130775,0,0.0,0,0.0,0.0,15874.644795,16088.292478,-213.647683,4,5,4,9,0
185,185,6,5,1,0.166667,15529.472559,0,0.0,0,0.0,0.0,0.0,5643.889694,-5643.889694,3,4,2,6,0
186,186,6,5,1,0.166667,22743.060401,0,0.0,0,0.0,0.0,2940.798488,0.0,2940.798488,5,4,3,6,0
187,187,6,6,0,0.0,29036.04026,0,0.0,0,0.0,0.0,1049.477639,0.0,1049.477639,5,4,2,6,0
188,188,5,5,0,0.0,20278.165902,1,5647.582968,3,5399.384525,0.956052,0.0,9231.198409,-9231.198409,0,4,2,5,0
189,189,7,7,0,0.0,20849.228175,1,822.364475,2,676.667596,0.822832,3774.060826,3776.499123,-2.438297,2,3,2,7,0
190,190,6,6,0,0.0,22578.907573,0,0.0,0,0.0,0.0,7427.987956,0.0,7427.987956,4,4,4,6,0
191,191,11,11,0,0.0,18644.69526,1,4386.396738,7,4359.979777,0.993978,3766.860004,0.0,3766.860004,2,5,3,9,0
192,192,5,5,0,0.0,7644.129136,1,3833.404641,4,3810.724495,0.994084,0.0,0.0,0.0,0,4,2,5,0
193,193,8,8,0,0.0,24532.576514,2,5643.765422,3,1487.085092,0.263492,0.0,0.0,0.0,2,4,4,8,1
194,194,7,7,0,0.0,44579.897398,0,0.0,0,0.0,0.0,0.0,20849.874954,-20849.874954,4,4,2,7,0
195,195,5,5,0,0.0,25879.647034,0,0.0,0,0.0,0.0,2466.678164,15972.506277,-13505.828113,2,4,2,5,0
196,196,5,5,0,0.0,25979.535821,0,0.0,0,0.0,0.0,12222.912369,9004.539749,3218.37262,2,3,2,5,0
197,197,6,6,0,0.0,14650.109694,1,1749.085974,3,1688.444349,0.96533,0.0,0.0,0.0,2,3,3,6,0
198,198,8,8,0,0.0,41082.961962,0,0.0,0,0.0,0.0,0.0,6920.789338,-6920.789338,5,5,4,8,0
199,199,5,5,0,0.0,18858.267601,0,0.0,0,0.0,0.0,0.0,1203.98467,-1203.98467,4,3,3,5,0
200,200,4,4,0,0.0,12876.205067,1,2111.095295,1,342.936019,0.162445,0.0,0.0,0.0,1,2,3,4,1
201,201,8,8,0,0.0,34366.197059,1,5878.793457,2,5647.157096,0.960598,14842.967767,0.0,14842.967767,2,3,4,8,1
202,202,7,7,0,0.0,47184.317359,3,18406.807141,1,5150.762457,0.279829,0.0,0.0,0.0,2,4,3,7,1
203,203,7,6,1,0.142857,32188.786836,1,5698.195289,3,7770.963617,1.0,2457.802666,7002.670532,-4544.867866,1,5,3,6,0
204,204,7,7,0,0.0,26544.633216,0,0.0,0,0.0,0.0,9567.343121,0.0,9567.343121,6,3,2,7,0
205,205,6,5,1,0.166667,27080.32448,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6,5,3,6,0
206,206,4,4,0,0.0,27076.051337,1,8844.480409,2,8762.826246,0.990768,0.0,0.0,0.0,1,4,2,4,0
207,207,6,6,0,0.0,24354.824892,1,8253.249377,3,7315.47258,0.886375,0.0,1021.553185,-1021.553185,1,4,4,6,0
208,208,5,4,1,0.2,35295.322183,4,23004.177681,0,0.0,0.0,0.0,0.0,0.0,0,4,3,5,1
209,209,3,3,0,0.0,10407.152376,1,5224.055718,2,5183.096658,0.99216,0.0,0.0,0.0,0,2,3,3,0
210,210,6,6,0,0.0,35774.633606,0,0.0,0,0.0,0.0,0.0,10159.728041,-10159.728041,4,5,3,6,0
211,211,7,7,0,0.0,32695.472211,0,0.0,0,0.0,0.0,8363.796834,8284.002066,79.794768,3,4,2,7,0
212,212,7,7,0,0.0,26342.489878,1,5211.099655,0,0.0,0.0,7276.817611,0.0,7276.817611,4,5,2,7,0
