transaction_id,transaction_hash,block_number,timestamp,from_account_id,to_account_id,transaction_type,amount,token_id,protocol_id,gas_used,gas_price,status,chain_id
14,0xbbd0fa3387ed074062c614f05ccbf18859acfab1ba288f85c3dc729dc208ce39,10000076,2025-01-01 06:21:18,587,,DEPOSIT,1061.216946,5,2.0,71477,84.0558,SUCCESS,1
15,0x1b9698df2bf8aaa7e0f55b1be6bd7fce7ea76686905561f5b02d8e0968aacd4d,10000081,2025-01-01 06:48:48,370,436.0,TRANSFER,828.652163,4,,55095,52.8628,SUCCESS,1
16,0xe53957e6f886ec80f1095a9fc2fef5ab1212e663769d4652eca72a2024e9386d,10000088,2025-01-01 07:22:03,457,,BORROW,5923.570633,5,4.0,124489,88.4813,SUCCESS,1
17,0x890a2706eabe8dc2d4c6f3e6f09484d6ac84de2cc1bc2f5a5b79f9ad550cdb85,10000100,2025-01-01 08:22:43,599,451.0,SWAP,8239.880185,4,4.0,54324,53.6288,SUCCESS,1
18,0x248412471d380cd45fb27cc34bb7eb0481d204698843946e8cef75179fdacdba,10000122,2025-01-01 10:14:18,469,,BORROW,6975.259981,5,1.0,29547,77.1847,SUCCESS,1
19,0x7afc4b3745d848dedaa84c1b16ce5b8061936222b3064f08411e3fee71407b8c,10000136,2025-01-01 11:24:08,967,,WITHDRAW,1112.258269,1,4.0,96914,13.6254,SUCCESS,1
20,0x239270546d72783a72323980b461e1085c62c70b77b7486920c7df79e263bfeb,10000138,2025-01-01 11:31:31,157,,BORROW,3102.274819,3,3.0,228409,22.8582,SUCCESS,1
21,0x8db4bba8e002468d0c97396edf7132ab8c7f6d2b738ee251e73c9921d90dbe60,10000143,2025-01-01 11:58:12,803,916.0,TRANSFER,8891.68149,3,,235728,76.5694,SUCCESS,1
22,0x9f47be8fbadc5c8ff7f10207cb7188726da1f2a4bc7e88bcbd1e2d8ce00f640f,10000153,2025-01-01 12:45:36,3,,BORROW,8717.222706,3,1.0,171224,37.8732,SUCCESS,1
23,0xc1612527e7128fc258698beaf211f89fd3409743e6798d573884c7f351025df0,10000168,2025-01-01 14:03:11,464,,DEPOSIT,7621.892803,4,2.0,141831,78.5511,SUCCESS,1
24,0xd729b75b08603d9305a8cae94c28e617444533ed673a4362d9b89586f124514d,10000172,2025-01-01 14:20:03,684,,WITHDRAW,8000.118096,3,1.0,128381,44.8512,SUCCESS,1
25,0xf98311d4e7e7ff6dcc39a68298bfd6bb9ab7dcc7df901bcc5444f5bf55979cea,10000184,2025-01-01 15:24:48,922,982.0,SWAP,6462.706131,4,3.0,206390,12.2324,SUCCESS,1
26,0x61a6492ced835cb724e488212955cec40e94a1779b9dec876491fcc1e46cd2b5,10000194,2025-01-01 16:11:12,646,,DEPOSIT,6442.702754,5,1.0,183189,58.7651,SUCCESS,1
27,0x8fc850df323ea6100f1604f0dcedff3a767e8726d5a20dad3224fc23cbe78909,10000197,2025-01-01 16:27:52,776,,BORROW,7530.529878,5,2.0,25892,20.8255,SUCCESS,1
28,0x71c49013dc3d2593fc451d290f48dd90c745a5cd46dd77d83783e6da414fe202,10000207,2025-01-01 17:15:38,959,,WITHDRAW,2460.414077,3,2.0,172926,49.9807,SUCCESS,1
29,0x423c90f88c5e6758536f834807fb3ddc6a3630d498609eb64b3870610162ad87,10000213,2025-01-01 17:46:54,827,,BORROW,5930.040962,3,4.0,27098,40.5961,SUCCESS,1
30,0xacff357f47ceb741193de218114bb94b8582d99b2f9782acb852bcdd3c5c9eda,10000229,2025-01-01 19:09:12,185,,WITHDRAW,2579.206154,3,4.0,47039,58.7601,SUCCESS,1
31,0x71a18428f6ad2c83905af517e05a4e52c49f51c5433272b3f089424dd536d2a2,10000230,2025-01-01 19:13:06,293,,BORROW,1626.850971,3,1.0,198893,25.2272,SUCCESS,1
32,0xd6b070de31fd2bc05d0821c5e61510685e668eec8f517a043161e59c025c01b4,10000230,2025-01-01 19:13:38,630,731.0,TRANSFER,2987.263126,1,,58345,47.1541,SUCCESS,1
33,0x60b5233b6c2a3d2d7ff36a012c397a300a844cbf9a3a87fe4b1ad88997be9b88,10000240,2025-01-01 20:00:46,332,,BORROW,2105.338634,1,1.0,174624,31.2842,SUCCESS,1
34,0x709ea40b9253cb0db181cbec012ffd2399901153ce62c485cc902a891577bccc,10000242,2025-01-01 20:10:27,521,118.0,SWAP,3190.181091,3,1.0,38159,53.5754,SUCCESS,1
35,0x8afafac62be4ecc6283eeb2d27ce0610ea24c1b6ec0dfc03d60c9a36201e356f,10000242,2025-01-01 20:12:53,418,,WITHDRAW,5545.211879,1,3.0,47610,32.1684,SUCCESS,1
36,0x409a2730917400f2dce09da567e39addbae10dce818a24edebd31f6e6ad9c181,10000248,2025-01-01 20:44:19,569,582.0,TRANSFER,4465.362734,4,,152185,28.3111,SUCCESS,1
37,0xe0f82153995f4312fe4e8793dd7a193260fb287b20bc10f605a408b743cf29c6,10000255,2025-01-01 21:17:52,992,173.0,SWAP,9613.907571,2,4.0,31955,10.0901,SUCCESS,1
38,0x7725bf1dc649f62700554821d0a68b262818d1cb23a769f82b80a9e83eafb1b0,10000260,2025-01-01 21:40:38,476,,DEPOSIT,611.148559,2,1.0,92644,63.8081,SUCCESS,1
39,0xc54061c11deb64f1a88aab3f206f5837f89065e64cb99b376baa6a8c51f4aebf,10000261,2025-01-01 21:45:35,860,,WITHDRAW,464.392456,2,3.0,168608,16.2942,SUCCESS,1
40,0x1a205640694f450da20b003bfab7b5787f43d3876797c6b65dc4f3b665965557,10000263,2025-01-01 21:57:59,92,144.0,TRANSFER,9988.224319,5,,76273,64.9401,SUCCESS,1
41,0x67a56e1c8da7566d14be39dd805f5b8b92d9fc0874375e89344c638321cea4e8,10000270,2025-01-01 22:31:05,981,,WITHDRAW,9796.607076,3,3.0,92568,32.1335,SUCCESS,1
42,0x0e1ada6bb9f055ec20fb8d1f357e2e20bfb037e67c5811384315b85706cd900e,10000281,2025-01-01 23:26:26,330,614.0,SWAP,9141.04223,3,1.0,21536,64.7908,SUCCESS,1
43,0x4810af025063dcc91dabcb7b6c9a64f206f96f60e8ca483030ab7356d25f8260,10000283,2025-01-01 23:39:47,5,,DEPOSIT,7627.027763,4,4.0,227387,88.9048,SUCCESS,1
44,0x6b60c7a51848069d8f7422d0acad2b640145dfb927b0b7c078984de275f31716,10000289,2025-01-02 00:08:50,667,,BORROW,6755.23454,1,4.0,234065,43.8739,SUCCESS,1
45,0xa80650e044e76733e64107150505dd00842093c9898f21619509737f656571a7,10000290,2025-01-02 00:12:41,616,787.0,TRANSFER,1256.391009,1,,71591,50.012,SUCCESS,1
46,0xb539184e434598bdf62d592163ddae89d9c623a4aee59e378ee413b5b8d1893d,10000295,2025-01-02 00:39:22,227,,DEPOSIT,908.765528,3,2.0,100476,82.7573,SUCCESS,1
47,0x69e654aa34385463b500093b4d8b0dfb49cff315fb35fd7d43d46461f30e4e69,10000299,2025-01-02 00:59:02,227,372.0,SWAP,4933.450375,1,3.0,179866,28.8178,SUCCESS,1
48,0x0db8c151f811f3950dd97b046b4574427ffd6d559c7a2faada0c60e2883a0743,10000305,2025-01-02 01:29:22,201,,DEPOSIT,5695.331292,1,3.0,165647,27.4393,SUCCESS,1
49,0x6b41077a1478032069cb65fc64b6ceaae13159e0bd8dd08d3a4e5dd02d935883,10000315,2025-01-02 02:18:29,757,,DEPOSIT,662.952644,5,2.0,38052,21.4688,SUCCESS,1
50,0xf71281436490e041760b8e6be938b56856f7512bdd47c48d12e2c3a7eca00a13,10000321,2025-01-02 02:47:58,956,536.0,TRANSFER,1926.596962,3,,202662,70.9961,SUCCESS,1
51,0x3127f36345cfe9f9b7a1c09fc795dc8a3ce0b5f70db5af08a62564aa3c6055df,10000324,2025-01-02 03:03:17,630,465.0,SWAP,6413.2532,1,4.0,34595,86.8474,SUCCESS,1
52,0xa020a24d61e15371c7d8694448263423154e3624894f5344e676122a8d78e601,10000326,2025-01-02 03:14:57,331,,WITHDRAW,6804.93302,3,1.0,115757,56.5531,SUCCESS,1
53,0xd854e25bb8badf143df100ffa29d68a2c25ead36ac04d238c6049ad5bde5591a,10000329,2025-01-02 03:29:27,45,285.0,TRANSFER,5328.77872,4,,123723,27.5147,SUCCESS,1
54,0x86a78613fe8273d5c92c5ba23a3bdda6ef415328c410a68c35759afb418af25f,10000342,2025-01-02 04:34:25,84,,WITHDRAW,9578.179071,2,4.0,72610,24.8033,SUCCESS,1
55,0xb77138dac2ac5ffc2a682b235339270e12c21505548aa5e687b4877082266e15,10000355,2025-01-02 05:35:28,319,,DEPOSIT,4325.169946,1,4.0,229986,66.3667,SUCCESS,1
56,0x9495004c4612e714a39615782c8c99f1f6ebc31fc71e2a197fdc195177288d52,10000356,2025-01-02 05:43:23,343,485.0,TRANSFER,9588.438552,2,,236386,40.023,SUCCESS,1
57,0x377e54a5017ff0c7bc95431651289636cb2eac58a86c8b49b5cbff73193a0e7b,10000357,2025-01-02 05:45:02,814,615.0,TRANSFER,4390.909527,5,,138035,62.1041,SUCCESS,1
58,0x787d637217b340d73aec1dad646a13dd6878eaff62037a9f04ea1d42050d12bf,10000367,2025-01-02 06:36:46,88,,WITHDRAW,8901.936528,4,3.0,226166,21.4782,SUCCESS,1
59,0x44a13e571aaa39ddf03829e4e2643896bbd3193ab787b07d3550d22f4cd29f62,10000367,2025-01-02 06:37:57,942,626.0,TRANSFER,667.244688,4,,167606,14.6983,SUCCESS,1
60,0x37257be095840f5c3021990f822a9dd29e05756914c84094cb910c046c5deeee,10000368,2025-01-02 06:42:01,871,,BORROW,2407.808642,1,4.0,193942,66.1607,SUCCESS,1
61,0x043690ca215147d7baa5b8c88b6c169e4d752b5be0f99d47cfcc5ba92bfa1553,10000368,2025-01-02 06:44:50,465,,DEPOSIT,3402.768584,5,1.0,226240,12.3375,SUCCESS,1
62,0x6ed36e221f2b4c767297c7a40c8fe213f50a1526d88cfc777426dbb31932ad09,10000369,2025-01-02 06:48:56,530,106.0,TRANSFER,5955.799326,1,,227940,85.6702,SUCCESS,1
63,0xfb0f3df322c5378bc4f7a0bc2d6ca649c0de43c28c2e1d2dafbada939592db51,10000370,2025-01-02 06:50:46,927,,DEPOSIT,4215.859965,3,3.0,137555,26.7331,SUCCESS,1
64,0x4ea1080fae74d07c5f2375553137d8be1066eb994b5c4e23c1092d7fe2e848c9,10000370,2025-01-02 06:52:06,141,320.0,TRANSFER,4364.1228,5,,218754,42.1969,SUCCESS,1
65,0xc6f1beab0cc0551734b37ed5ae2cb4b22807b193e976a3259c9d9ae0f9bf37ce,10000378,2025-01-02 07:32:17,598,,DEPOSIT,3093.657401,2,4.0,117686,97.3244,SUCCESS,1
66,0x8b75f7c7f07f127fba158be4f881d4f7ce7d5907e773bfdd9601748cec831c95,10000381,2025-01-02 07:49:50,531,,DEPOSIT,5076.007596,1,2.0,246103,14.9147,SUCCESS,1
67,0x38b48859fc6af18cfe382afe42700ba7910fe75a0d7f66ef85404bc2f1e18b1d,10000397,2025-01-02 09:09:14,353,931.0,TRANSFER,7854.785433,2,,196075,52.8153,SUCCESS,1
68,0x54b6bc470c3bee3d9e2bda2251c10bc4bf5062d679048677dcf9cb064b74c5d8,10000402,2025-01-02 09:31:36,709,340.0,SWAP,6164.870341,5,3.0,63540,19.4363,SUCCESS,1
69,0x14d1bcaf2466326fb3e149c0302873b0e0e24e3181a5a34030cbff6e913b0390,10000403,2025-01-02 09:38:17,898,225.0,TRANSFER,6391.282833,1,,143299,66.1528,SUCCESS,1
70,0x4e39742d992cb5c6aaf82427b74a79e8dab9f848224d05bcfbf80007a954833e,10000403,2025-01-02 09:39:58,245,,DEPOSIT,2061.110439,3,4.0,22763,42.6535,SUCCESS,1
71,0x2da29cccecc33f79250a4c09118a4175cdad5e16f5db789cb99c8954ee1f2b00,10000409,2025-01-02 10:09:46,76,146.0,SWAP,1952.09041,3,4.0,221679,42.3918,SUCCESS,1
72,0x78f6268b3f08fd80bddb8d53a1d6fd846491792e0dbfae287de27e4779d118cf,10000410,2025-01-02 10:14:31,999,,BORROW,1824.051431,2,3.0,209438,25.6856,SUCCESS,1
73,0x0e5bb319e3cfda619f8193c658946f70d0ea4c88198c61f920807274f24bca28,10000415,2025-01-02 10:37:34,868,23.0,TRANSFER,8430.385393,2,,26503,84.8301,SUCCESS,1
74,0xf0a700d250eb25612ba2e83f742c16c170d40d3a497e44e770d4a34c0aa2572d,10000439,2025-01-02 12:39:31,141,,DEPOSIT,9361.779901,1,3.0,83953,43.2677,SUCCESS,1
75,0x501eec97be7e9f427accd43cd43a93fb0161ac31c5f7cf7f1e06f358d1fc5101,10000440,2025-01-02 12:41:48,382,,WITHDRAW,8785.094486,5,4.0,58862,89.4451,SUCCESS,1
76,0xdcc01de0dde8cd4296df43ae40455eaea763682716a490d167321c2dc824d4d8,10000445,2025-01-02 13:08:20,134,388.0,TRANSFER,3186.336576,3,,187761,32.0095,SUCCESS,1
77,0x0139e94dbfe8348f26b253dc87029e870b390c59fed46f96f82989353c5a3cf3,10000450,2025-01-02 13:34:27,48,875.0,SWAP,7897.982016,5,3.0,34961,66.6513,SUCCESS,1
78,0x6dd643716aed20d2e8492eeaa5b7fba96ebd6b8384d504fbc2a1d18fdd8ca375,10000454,2025-01-02 13:50:18,287,,WITHDRAW,2100.283359,5,4.0,144382,81.1897,SUCCESS,1
79,0xecf5834eb81be3d3d07a0c2f8dd9b6abad4aaef8166ad33f5cba3d547b54ba3f,10000457,2025-01-02 14:06:34,630,,BORROW,7537.949576,5,4.0,154472,43.6839,SUCCESS,1
80,0x77aa7a1f3fe85a446f8cccd181365c38096222fc8669b86615040c41979b4c5a,10000458,2025-01-02 14:14:01,532,383.0,TRANSFER,6948.151641,5,,150706,52.6382,SUCCESS,1
81,0xc441c13e2612f1cabc9aedad58174ac98b5b5a775a733f0a7205b65ad682bb49,10000465,2025-01-02 14:45:37,596,,WITHDRAW,2079.923979,5,1.0,139510,87.6851,SUCCESS,1
82,0x800ce478abbc6ed63feaf5a9034aab40d52f0ce5d30a554d672355c6ac2deca9,10000466,2025-01-02 14:50:24,406,387.0,SWAP,9355.634081,5,2.0,165323,17.6283,SUCCESS,1
83,0x383fd02de6bcc6cbf05364707e835b81ee57b693fe3cd8e5ea9b5953dcff063b,10000470,2025-01-02 15:14:00,770,,BORROW,2378.758024,4,3.0,155286,65.9013,SUCCESS,1
84,0x12d7936ca7b42643f62d060f69486511cfec69a624974fa6475fc013039ccafe,10000473,2025-01-02 15:26:37,437,377.0,SWAP,2737.464462,4,3.0,136785,31.0411,SUCCESS,1
85,0x81f37e74055238428d33763b871900acb15e94b8664beec771153c1dee963654,10000473,2025-01-02 15:29:42,661,,BORROW,8441.773553,1,3.0,189730,17.0343,SUCCESS,1
86,0xcd8ba013b714143c00062fb54e3f7e274fb6043d8dd863ab9e29a2c3fb764c0c,10000474,2025-01-02 15:30:06,284,74.0,TRANSFER,392.431038,3,,72549,70.7597,SUCCESS,1
87,0xd67c511a573aeef20f933180ea971de05be292f4d548a13180f0a550cf5962cd,10000492,2025-01-02 17:01:41,257,,WITHDRAW,7059.36995,3,2.0,245132,77.7145,FAILED,1
88,0xbc7623631d2593bdf672796604c67b30a2361a8b717e7fdca178c9b8088373a4,10000497,2025-01-02 17:28:03,758,789.0,TRANSFER,2825.63425,3,,126856,95.1234,SUCCESS,1
89,0xf52538e8d9bc3820cdb8614e4c7075cc79dbe7f98fe2908ec96293791c5e2172,10000499,2025-01-02 17:36:58,842,,DEPOSIT,8656.006547,4,2.0,210618,77.4223,SUCCESS,1
90,0x93287ba171eff749fa26503b9fe21b1cf07cf452b216af5e6b9e135f9ae2d86a,10000510,2025-01-02 18:33:39,486,,BORROW,7252.852478,5,4.0,228595,17.7288,SUCCESS,1
91,0x2011cb82280159136aea8fe270825c0d2f8e061d4cd5f1021096343d07472fc7,10000511,2025-01-02 18:36:08,867,,BORROW,4442.939932,4,2.0,28891,43.723,SUCCESS,1
92,0xe5446b0b68d1372b8f14007e8da16488d61d1beb47f64dc2d57d1490aafdb240,10000518,2025-01-02 19:11:17,592,756.0,TRANSFER,5003.004111,1,,113972,40.584,SUCCESS,1
93,0x58149454e1b27cf2603c1c463f17ac6a0e54ae2b1a049b960b13644eb6f17899,10000519,2025-01-02 19:16:49,430,,DEPOSIT,3267.53435,5,3.0,226876,12.8988,SUCCESS,1
94,0xf431bd86e4a60faec5b2646ee0c79de75f679fdaa187a67119206c7db2b31eee,10000520,2025-01-02 19:21:44,143,,WITHDRAW,9801.919433,3,4.0,123402,15.7338,SUCCESS,1
95,0xa9e09fec0e3aa8a1f1546cd3c5f0adc7485b226c6d6849983323cc790e6e2758,10000528,2025-01-02 20:02:27,396,,BORROW,5738.198618,1,3.0,100860,18.3917,SUCCESS,1
96,0x7c66f512e1bbb61c0a03292438d1bcbe02ee8c1a3b0e00fc636e742e090dd554,10000535,2025-01-02 20:39:43,107,847.0,TRANSFER,4891.247093,5,,39216,92.0211,SUCCESS,1
97,0x4149e5181e60e2beb7c322655aa5313a987ed2c40ee354b0fffc4ff4e3e01aaf,10000536,2025-01-02 20:42:54,396,,REPAY,2921.875348,5,1.0,23895,25.4643,SUCCESS,1
98,0x48964f8387993fb18a36c47edf54617516f449424b01cb53703c92a0f5380110,10000540,2025-01-02 21:04:34,881,114.0,SWAP,4787.728912,2,4.0,247937,28.5832,SUCCESS,1
99,0xd66d4a19410736c10d0938103bf8868c2b3845b04c68c8072608dd5779a91cd4,10000543,2025-01-02 21:18:48,892,727.0,SWAP,6041.057392,4,2.0,175007,28.2676,SUCCESS,1
100,0xa83b43fc2623cb061971d63a58357c693c6432fbe272bd423a5662950f79aaea,10000544,2025-01-02 21:24:08,734,8.0,TRANSFER,4462.858492,2,,179557,82.6809,SUCCESS,1
101,0x5e1fffc7bccc3fb04955ecc8a7cad083a4f476983b8928bd9013154c3d8b0a76,10000574,2025-01-02 23:52:22,539,503.0,SWAP,5765.566195,4,4.0,96474,68.1669,SUCCESS,1
102,0x3bf72aa040e1566b925acd21050633d942cae43f68ea779b206b1f7f3b7e247f,10000577,2025-01-03 00:05:44,941,,DEPOSIT,6134.144842,3,4.0,66908,47.3547,SUCCESS,1
103,0x9f6bde76b91b6c86114c3e00cf4495357114a86bfad4168cfafa407e247613a1,10000589,2025-01-03 01:09:22,184,,DEPOSIT,9109.222624,4,4.0,170059,18.5981,SUCCESS,1
104,0x7dd4032b0e5e5a9928c6905a96bf7ba9042a7591a7f3c4aaf4e6a0181506d8d1,10000590,2025-01-03 01:11:37,716,892.0,TRANSFER,2745.025007,2,,97517,69.9991,SUCCESS,1
105,0x7e1525494530daa98b3fad13262634a8306315b5813a530bdb048cf8055e64fe,10000591,2025-01-03 01:17:49,69,,DEPOSIT,4118.668802,2,4.0,52779,99.5785,SUCCESS,1
106,0x65c78630eae35f1fd86a0d94c9f23e89f27376b94952d49ccb011b2e569b6c32,10000592,2025-01-03 01:21:38,79,799.0,SWAP,4514.850474,3,4.0,153661,14.0172,SUCCESS,1
107,0x2fe54bf2d9a67f903358b14987954a934831ef9e4785beafe5e46daf62b4bf4f,10000598,2025-01-03 01:54:50,28,,BORROW,3502.211381,4,4.0,71961,45.7007,SUCCESS,1
108,0x895eada96bef44ab50ac45a50b2b45dc3821b12db171467bf1aeadbe3170656a,10000603,2025-01-03 02:15:15,11,,DEPOSIT,6706.252763,2,3.0,141941,16.1413,SUCCESS,1
109,0xe901f6a08500a5a4636c3c0185e1f85e1be62f0db05b8c2b0fa00ec67d2076a6,10000623,2025-01-03 03:57:49,562,,DEPOSIT,4713.169447,4,2.0,63301,25.353,SUCCESS,1
110,0x074a194b92579abdaed976fc4db70d75f47708c6ef5cd01c6d0fa718d4629e4d,10000631,2025-01-03 04:38:56,19,128.0,TRANSFER,7417.050366,5,,197001,78.723,SUCCESS,1
111,0x44e5660bcf60ddff58333987a0ac4440b79114f3a510aed3fec1d35b037e9860,10000634,2025-01-03 04:53:51,694,183.0,SWAP,8927.95018,2,1.0,136882,72.7068,SUCCESS,1
112,0xe7a0b9725477be0aa8943470067e501cf1d21e69861aef7e97f96e57ba6ebe2e,10000637,2025-01-03 05:06:26,857,679.0,SWAP,6906.56366,1,4.0,177815,10.4199,SUCCESS,1
113,0x0916ae5b5479e7938240e8d0edb653223acce2e475c94a3c093b775a5896765a,10000639,2025-01-03 05:17:17,791,256.0,TRANSFER,9088.476282,3,,25204,47.9514,SUCCESS,1
114,0xb72f8a2bcf622df08d6c88f0da52b72dc038d875b0876997bd2becb2bda80ecf,10000639,2025-01-03 05:17:39,15,686.0,TRANSFER,2213.472841,1,,229908,85.1847,SUCCESS,1
115,0x2b9c28703920addfb0a2ae4f8551bc0625f4fdc65a5e9d0bb6a59f09fc9d2646,10000648,2025-01-03 06:04:21,681,,BORROW,4215.232099,2,1.0,106758,39.0412,SUCCESS,1
116,0x24d3b015dcdac93caf01d28034c4ffa59bcb178de24ecf57b03445161f504947,10000651,2025-01-03 06:16:08,642,555.0,TRANSFER,9389.843048,4,,77041,19.5297,SUCCESS,1
117,0x433c1ba84e491805ecd9bca0fbc712d67cbb3994cd446aed3331e82fd86b274c,10000661,2025-01-03 07:05:06,332,,LIQUIDATION,2105.338634,4,3.0,76775,51.2898,SUCCESS,1
118,0xee18f0d446f92dd9fe8c68f4b3613f23645474876647328b3c8b33c3f7fa0db5,10000662,2025-01-03 07:13:46,68,639.0,TRANSFER,448.950038,3,,128766,37.1381,SUCCESS,1
119,0xdb057f0df6fff7cbe29f4ba18a55fec95a1ab55c3546c2eae17ce24eba5be6d8,10000663,2025-01-03 07:17:08,614,,WITHDRAW,2526.882131,5,2.0,106027,98.3274,SUCCESS,1
120,0x9fbf24bf2997619cb487d8067f90d680cf9b7f592822e1489bbfa7cbe683b27c,10000668,2025-01-03 07:43:23,714,,WITHDRAW,1761.557149,2,3.0,201256,38.617,SUCCESS,1
121,0xfafe769ef59274be7d68678e1c30bbafd57094769d3e764e03b727854df20b7c,10000668,2025-01-03 07:44:39,872,19.0,TRANSFER,9121.911517,5,,154962,67.6533,SUCCESS,1
122,0x48f48939a2f0a1681a0b31c75c7f7968254ba1d79ed8da119f7915a923bd2f8b,10000674,2025-01-03 08:14:10,239,,DEPOSIT,221.921662,1,2.0,53520,37.7964,SUCCESS,1
123,0x1a7a2f7417a844932eb9e50a0204aa6e931a5e0372d30f6fd24e4aec253aa571,10000681,2025-01-03 08:48:47,756,82.0,TRANSFER,1384.179273,1,,73956,23.6504,SUCCESS,1
124,0xeae0d45be6f75fb52259d4b91319274ee8a5302512324345b23628c1ea1cf643,10000682,2025-01-03 08:53:32,210,743.0,TRANSFER,9885.628265,5,,107164,22.084,SUCCESS,1
125,0x984f033d3c76e033b10685d31b5055abd96b419f425235e38c1fb288802e203a,10000687,2025-01-03 09:15:59,326,,DEPOSIT,6483.983787,5,4.0,27211,30.6109,SUCCESS,1
126,0x4d953f3a75362c22d617564374b0cdc2d22ce0e93fc0fadcb7e80fcfd4bc1703,10000690,2025-01-03 09:30:41,751,553.0,TRANSFER,9067.254257,1,,86100,82.1307,SUCCESS,1
127,0x67519216631a0c3837c56934b4aab0246a46766aaca5722162c7da459e0b9ec9,10000691,2025-01-03 09:36:09,713,,DEPOSIT,1843.619281,4,3.0,37938,88.288,SUCCESS,1
128,0x618937739b3f796acfdd5ce9304ae1b041bcd7bb6ccd04a29e8e0c908d265850,10000691,2025-01-03 09:37:10,72,145.0,TRANSFER,1264.354386,2,,164876,84.8099,SUCCESS,1
129,0xdb3bd27594b04eab9a6c4179cadfa7ba2e28fac22514bdf85f520ddce54ff780,10000694,2025-01-03 09:53:43,955,437.0,SWAP,1649.946528,4,3.0,132153,25.8792,SUCCESS,1
130,0xf01e3d802a0c0f7bb2ac12d77ae1abefb5e5b063b8f4e93c39f25771ff67f1bd,10000705,2025-01-03 10:47:32,255,991.0,SWAP,8625.631013,2,3.0,115262,45.842,SUCCESS,1
131,0x8f819ed1d773483d303d83531bec82e16d23ea96c1a67588e178b2c1eb2f01f2,10000708,2025-01-03 11:01:22,172,625.0,SWAP,8197.842041,4,2.0,26193,78.5736,SUCCESS,1
132,0x57408ba40ae83246b673cbf0708f5c72a3d82006f2c48486c86d9ddda9230451,10000712,2025-01-03 11:24:59,438,,DEPOSIT,5532.992847,3,2.0,120732,51.7286,SUCCESS,1
133,0xd5baa9818c879799dfbc46235af5a674a7ab4f7d0f15512580730147087fddc3,10000714,2025-01-03 11:30:53,465,493.0,SWAP,1375.196929,1,3.0,61560,92.4519,SUCCESS,1
134,0x367291923690cb5c19a915e29187c7ccdcae6f955f1ed2a1083c7b185d80feee,10000715,2025-01-03 11:35:10,5,,BORROW,4965.391805,5,3.0,124455,97.3443,SUCCESS,1
135,0x61be4e8d8a2d75461899bf88014e46fad5ea665af9ea213818a07caa569c0141,10000721,2025-01-03 12:06:26,383,603.0,TRANSFER,4093.787974,1,,53631,44.6343,SUCCESS,1
