account_id,proposed_label,future_liquidation_count,future_failed_tx_ratio,future_borrow_count,future_repay_count
91,LOW,0,0.0,1,1
92,LOW,0,0.0,0,4
93,HIGH,0,0.2,0,0
94,LOW,0,0.0,0,0
95,LOW,0,0.0,1,6
96,LOW,0,0.0,0,6
97,LOW,0,0.0,0,4
98,MEDIUM,1,0.0,0,4
99,LOW,0,0.0,1,0
100,LOW,0,0.0,0,6
101,HIGH,2,0.0,2,0
102,LOW,0,0.0,0,3
103,LOW,0,0.0,0,0
104,MEDIUM,1,0.1,2,4
105,LOW,0,0.0,1,2
106,LOW,0,0.0,0,5
107,HIGH,0,0.2,2,0
108,LOW,0,0.0,1,2
109,LOW,0,0.0,0,3
110,LOW,0,0.0,2,1
111,LOW,0,0.0,0,2
112,HIGH,0,0.25,0,8
113,LOW,0,0.0,0,1
114,LOW,0,0.0,0,0
115,LOW,0,0.0,0,0
116,LOW,0,0.0,0,2
117,LOW,0,0.0,0,10
118,MEDIUM,1,0.0,1,1
119,MEDIUM,1,0.0,0,1
120,HIGH,0,0.25,1,1
121,MEDIUM,0,0.1,0,8
122,LOW,0,0.0,0,5
123,LOW,0,0.0,1,4
124,LOW,0,0.0,0,0
125,LOW,0,0.0,0,0
126,LOW,0,0.090909,1,3
127,LOW,0,0.0,0,0
128,MEDIUM,1,0.0,1,1
129,MEDIUM,1,0.1,2,1
130,LOW,0,0.0,0,5
131,MEDIUM,0,0.142857,0,0
132,LOW,0,0.0,1,6
133,LOW,0,0.0,0,3
134,LOW,0,0.0,0,3
135,MEDIUM,1,0.0,1,0
136,LOW,0,0.0,0,0
137,LOW,0,0.0,0,0
138,HIGH,1,0.25,3,2
139,LOW,0,0.0,1,9
140,LOW,0,0.0,0,6
141,LOW,0,0.0,0,3
142,LOW,0,0.0,0,0
143,LOW,0,0.0,0,4
144,LOW,0,0.0,0,0
145,MEDIUM,0,0.142857,1,1
146,MEDIUM,1,0.0,0,0
147,LOW,0,0.0,0,0
148,LOW,0,0.0,1,0
149,LOW,0,0.0,1,6
150,HIGH,0,0.285714,0,5
151,MEDIUM,1,0.0,0,0
152,LOW,0,0.0,0,7
153,HIGH,0,0.2,0,5
154,LOW,0,0.0,0,6
155,HIGH,3,0.0,2,0
156,LOW,0,0.0,0,0
157,LOW,0,0.0,0,0
158,LOW,0,0.0,0,7
159,LOW,0,0.0,0,6
160,LOW,0,0.0,0,0
161,LOW,0,0.0,1,0
162,MEDIUM,0,0.142857,0,7
163,LOW,0,0.0,0,1
164,LOW,0,0.0,0,0
165,LOW,0,0.0,1,3
166,LOW,0,0.0,0,3
167,MEDIUM,0,0.142857,0,6
168,LOW,0,0.0,0,9
169,LOW,0,0.0,0,0
170,MEDIUM,0,0.142857,1,5
171,LOW,0,0.0,1,5
172,LOW,0,0.0,0,3
173,LOW,0,0.0,0,0
174,LOW,0,0.0,0,0
175,LOW,0,0.0,0,0
176,HIGH,2,0.0,1,1
177,MEDIUM,1,0.0,0,4
178,LOW,0,0.090909,0,4
179,LOW,0,0.0,0,0
180,MEDIUM,0,0.166667,2,3
181,MEDIUM,0,0.142857,0,0
182,LOW,0,0.0,0,7
183,LOW,0,0.0,0,4
184,LOW,0,0.0,0,11
185,MEDIUM,1,0.0,1,0
186,LOW,0,0.0,0,0
187,LOW,0,0.0,0,0
188,LOW,0,0.0,0,0
189,MEDIUM,0,0.1,1,4
190,LOW,0,0.0,1,5
191,LOW,0,0.0,0,5
192,MEDIUM,1,0.0,1,1
193,LOW,0,0.0,4,1
194,LOW,0,0.0,1,0
195,LOW,0,0.0,0,7
196,LOW,0,0.0,0,6
197,HIGH,1,0.222222,0,5
198,MEDIUM,0,0.142857,0,7
199,MEDIUM,1,0.0,1,1
200,LOW,0,0.0,0,1
201,LOW,0,0.0,0,5
202,HIGH,2,0.0,2,1
203,MEDIUM,0,0.166667,0,4
204,LOW,0,0.0,0,0
205,LOW,0,0.0,0,0
206,MEDIUM,0,0.166667,0,6
207,MEDIUM,0,0.125,1,6
208,HIGH,0,0.25,0,4
209,LOW,0,0.0,0,3
210,MEDIUM,0,0.125,0,6
211,LOW,0,0.0,0,4
212,MEDIUM,1,0.0,1,3
213,MEDIUM,0,0.111111,0,8
214,MEDIUM,1,0.0,2,6
215,LOW,0,0.0,0,7
216,LOW,0,0.0,0,0
217,LOW,0,0.0,1,9
218,LOW,0,0.0,0,0
219,MEDIUM,1,0.0,1,0
220,LOW,0,0.0,0,4
221,LOW,0,0.0,3,6
222,HIGH,2,0.0,2,0
223,LOW,0,0.0,1,2
224,LOW,0,0.0,0,7
225,MEDIUM,1,0.0,0,2
226,LOW,0,0.0,0,2
227,LOW,0,0.0,1,2
228,LOW,0,0.0,1,2
229,LOW,0,0.0,0,5
230,LOW,0,0.0,0,8
231,LOW,0,0.0,0,5
232,HIGH,0,0.2,0,2
233,MEDIUM,0,0.111111,0,6
234,HIGH,0,0.2,0,0
235,LOW,0,0.0,0,2
236,MEDIUM,0,0.111111,0,7
237,LOW,0,0.0,1,9
238,HIGH,2,0.0,2,0
239,HIGH,0,0.333333,0,2
240,MEDIUM,0,0.125,0,7
241,MEDIUM,1,0.0,2,0
242,MEDIUM,1,0.0,2,5
243,LOW,0,0.0,0,4
244,MEDIUM,0,0.111111,1,5
245,LOW,0,0.0,1,4
246,HIGH,0,0.333333,0,3
247,LOW,0,0.0,0,0
248,LOW,0,0.0,0,6
249,LOW,0,0.0,0,6
250,LOW,0,0.0,0,0
251,LOW,0,0.0,0,0
252,LOW,0,0.0,4,1
253,LOW,0,0.0,0,7
254,LOW,0,0.0,0,6
255,LOW,0,0.0,1,1
256,MEDIUM,1,0.0,1,4
257,MEDIUM,0,0.142857,1,0
258,LOW,0,0.0,1,3
259,LOW,0,0.0,0,13
260,LOW,0,0.0,1,10
261,LOW,0,0.0,0,6
262,MEDIUM,1,0.0,1,1
263,LOW,0,0.0,0,0
264,MEDIUM,1,0.0,1,1
265,LOW,0,0.0,0,5
266,HIGH,0,0.25,0,0
267,MEDIUM,1,0.0,2,1
268,LOW,0,0.0,0,6
269,LOW,0,0.0,1,2
270,MEDIUM,1,0.0,1,0
271,HIGH,0,0.25,0,0
272,LOW,0,0.0,0,3
273,HIGH,0,0.25,0,4
274,MEDIUM,0,0.111111,0,0
275,LOW,0,0.0,0,4
276,LOW,0,0.0,0,3
277,LOW,0,0.0,1,5
278,LOW,0,0.0,0,6
279,LOW,0,0.0,1,6
280,LOW,0,0.0,1,2
281,MEDIUM,1,0.0,1,1
282,MEDIUM,1,0.111111,0,2
283,LOW,0,0.0,2,5
284,LOW,0,0.0,0,4
285,LOW,0,0.0,1,4
286,LOW,0,0.0,2,3
287,MEDIUM,1,0.0,2,3
288,MEDIUM,0,0.142857,0,4
289,LOW,0,0.0,0,4
290,MEDIUM,1,0.0,3,2
291,LOW,0,0.0,2,2
292,HIGH,3,0.0,2,1
293,LOW,0,0.0,0,0
294,LOW,0,0.0,0,5
295,LOW,0,0.0,1,2
296,HIGH,2,0.0,4,0
297,MEDIUM,1,0.0,1,0
298,HIGH,3,0.0,2,0
299,LOW,0,0.0,0,3
300,LOW,0,0.0,2,0
301,LOW,0,0.0,1,2
302,HIGH,2,0.0,1,2
303,LOW,0,0.0,0,5
304,LOW,0,0.0,0,6
305,HIGH,2,0.111111,4,1
306,LOW,0,0.0,1,3
307,MEDIUM,1,0.0,0,2
308,LOW,0,0.0,0,5
309,LOW,0,0.0,0,7
310,MEDIUM,1,0.0,0,4
311,HIGH,2,0.0,3,2
312,LOW,0,0.0,0,0
313,MEDIUM,1,0.0,0,0
314,MEDIUM,0,0.125,1,3
315,LOW,0,0.0,0,5
316,LOW,0,0.0,2,2
317,LOW,0,0.0,1,2
318,MEDIUM,1,0.0,3,2
319,LOW,0,0.0,0,0
320,LOW,0,0.0,0,0
321,LOW,0,0.0,1,2
322,HIGH,2,0.0,4,1
323,LOW,0,0.0,0,0
324,LOW,0,0.083333,1,8
325,LOW,0,0.0,0,5
326,LOW,0,0.0,1,7
327,LOW,0,0.0,2,5
328,LOW,0,0.0,0,0
329,LOW,0,0.0,1,4
330,LOW,0,0.0,0,1
331,LOW,0,0.0,0,5
332,MEDIUM,1,0.0,2,0
333,LOW,0,0.0,1,7
334,HIGH,3,0.090909,4,1
335,LOW,0,0.0,1,5
336,LOW,0,0.0,0,4
337,LOW,0,0.0,1,1
338,LOW,0,0.0,1,0
339,LOW,0,0.0,0,3
340,LOW,0,0.0,0,0
341,LOW,0,0.076923,0,0
342,LOW,0,0.0,0,6
343,HIGH,2,0.25,2,0
344,MEDIUM,0,0.1,2,4
345,LOW,0,0.0,1,1
346,LOW,0,0.0,0,6
347,LOW,0,0.0,0,4
348,LOW,0,0.0,0,10
349,LOW,0,0.0,0,7
350,LOW,0,0.0,1,1
351,MEDIUM,0,0.125,0,7
352,LOW,0,0.0,0,5
353,LOW,0,0.0,0,1
354,MEDIUM,0,0.166667,2,1
355,LOW,0,0.0,1,4
356,MEDIUM,1,0.0,1,1
357,LOW,0,0.0,0,0
358,LOW,0,0.0,0,0
359,MEDIUM,0,0.166667,0,3
360,MEDIUM,1,0.0,0,4
361,MEDIUM,1,0.142857,1,0
362,LOW,0,0.0,1,3
363,LOW,0,0.0,0,0
364,LOW,0,0.0,0,5
365,LOW,0,0.0,1,6
366,LOW,0,0.0,0,2
367,LOW,0,0.0,0,3
368,HIGH,0,0.2,0,0
369,LOW,0,0.0,0,5
370,LOW,0,0.0,1,0
371,MEDIUM,0,0.111111,1,2
372,LOW,0,0.0,1,4
373,HIGH,2,0.0,3,1
374,HIGH,2,0.0,4,1
375,LOW,0,0.0,0,0
376,HIGH,2,0.0,2,0
377,LOW,0,0.0,1,2
378,LOW,0,0.0,1,6
379,LOW,0,0.0,0,5
380,HIGH,3,0.0,3,3
381,HIGH,2,0.0,4,1
382,HIGH,0,0.2,0,8
383,LOW,0,0.0,1,1
384,HIGH,0,0.2,1,3
385,LOW,0,0.0,0,3
386,LOW,0,0.0,0,5
387,LOW,0,0.0,0,0
388,MEDIUM,1,0.0,1,0
389,LOW,0,0.0,0,4
390,LOW,0,0.0,0,3
391,HIGH,3,0.0,4,1
392,LOW,0,0.0,0,5
393,MEDIUM,1,0.0,2,0
394,MEDIUM,1,0.0,1,0
395,MEDIUM,1,0.0,1,3
396,MEDIUM,1,0.0,1,3
397,HIGH,2,0.142857,4,1
398,LOW,0,0.0,1,6
399,LOW,0,0.0,1,4
400,HIGH,0,0.222222,1,5
401,LOW,0,0.0,0,9
402,LOW,0,0.0,0,0
403,LOW,0,0.0,0,0
404,LOW,0,0.0,1,4
405,LOW,0,0.0,1,2
406,LOW,0,0.0,1,6
407,LOW,0,0.0,0,11
408,MEDIUM,0,0.125,0,0
409,MEDIUM,1,0.0,0,6
410,LOW,0,0.0,0,0
411,LOW,0,0.0,0,3
412,LOW,0,0.0,1,0
413,LOW,0,0.0,0,4
414,HIGH,0,0.2,0,5
415,MEDIUM,1,0.0,4,1
416,LOW,0,0.0,0,3
417,MEDIUM,1,0.0,1,6
418,LOW,0,0.0,0,4
419,MEDIUM,1,0.0,1,2
420,LOW,0,0.0,0,3
421,LOW,0,0.0,1,2
422,LOW,0,0.0,0,4
423,HIGH,0,0.285714,1,0
424,LOW,0,0.0,0,4
425,HIGH,3,0.083333,2,1
426,HIGH,0,0.2,1,0
427,HIGH,3,0.0,2,0
428,LOW,0,0.0,0,8
429,MEDIUM,1,0.125,2,2
430,MEDIUM,1,0.0,0,2
431,LOW,0,0.0,0,5
432,LOW,0,0.0,0,0
433,LOW,0,0.0,1,8
434,MEDIUM,0,0.142857,1,2
435,MEDIUM,1,0.0,2,0
436,LOW,0,0.0,1,1
437,LOW,0,0.0,0,7
438,LOW,0,0.0,1,3
439,MEDIUM,1,0.0,0,0
440,LOW,0,0.0,0,7
441,LOW,0,0.0,0,0
442,LOW,0,0.0,1,0
443,MEDIUM,0,0.1,1,2
444,LOW,0,0.0,0,3
445,MEDIUM,1,0.0,0,4
446,LOW,0,0.0,1,2
447,LOW,0,0.0,3,4
448,LOW,0,0.0,0,3
449,LOW,0,0.0,0,2
450,LOW,0,0.0,1,7
451,LOW,0,0.0,0,0
452,LOW,0,0.0,0,4
453,HIGH,3,0.0,5,0
454,MEDIUM,0,0.111111,1,8
455,HIGH,0,0.285714,0,6
456,MEDIUM,0,0.142857,0,4
457,LOW,0,0.0,0,6
458,LOW,0,0.0,0,1
459,LOW,0,0.0,1,0
460,MEDIUM,1,0.0,1,4
461,LOW,0,0.0,0,0
462,MEDIUM,0,0.166667,0,5
463,LOW,0,0.0,0,6
464,HIGH,3,0.0,2,0
465,MEDIUM,0,0.1,0,10
466,HIGH,0,0.25,0,0
467,MEDIUM,0,0.125,1,3
468,LOW,0,0.0,1,2
469,LOW,0,0.0,0,0
470,MEDIUM,1,0.166667,2,1
471,LOW,0,0.0,1,0
472,LOW,0,0.0,0,0
473,LOW,0,0.0,0,5
474,LOW,0,0.0,0,3
475,MEDIUM,1,0.0,3,0
476,HIGH,0,0.2,0,4
477,LOW,0,0.0,0,3
478,LOW,0,0.0,0,0
479,MEDIUM,1,0.125,2,1
480,LOW,0,0.0,0,7
481,LOW,0,0.0,0,2
482,MEDIUM,0,0.1,0,8
483,LOW,0,0.0,0,5
484,LOW,0,0.0,0,11
485,MEDIUM,0,0.166667,0,4
486,HIGH,1,0.333333,1,0
487,LOW,0,0.0,0,4
488,MEDIUM,1,0.0,2,0
489,LOW,0,0.0,0,8
490,LOW,0,0.0,0,8
491,LOW,0,0.0,1,0
492,MEDIUM,1,0.142857,2,2
493,MEDIUM,1,0.0,3,0
494,LOW,0,0.0,0,5
495,LOW,0,0.0,0,10
496,LOW,0,0.0,0,6
497,LOW,0,0.0,0,7
498,HIGH,2,0.166667,2,1
499,LOW,0,0.0,0,9
500,HIGH,0,0.4,0,5
501,HIGH,2,0.0,3,0
502,LOW,0,0.0,1,3
503,LOW,0,0.0,0,0
504,MEDIUM,1,0.111111,2,6
505,MEDIUM,1,0.1,0,5
506,LOW,0,0.0,0,9
507,LOW,0,0.0,0,7
508,LOW,0,0.0,0,7
509,LOW,0,0.0,0,1
510,LOW,0,0.0,0,4
511,LOW,0,0.0,1,1
512,HIGH,0,0.2,0,5
513,HIGH,2,0.0,3,1
514,HIGH,4,0.0,4,0
515,MEDIUM,0,0.142857,1,4
516,LOW,0,0.0,0,1
517,LOW,0,0.0,1,4
518,HIGH,3,0.0,5,4
519,LOW,0,0.0,0,0
520,LOW,0,0.0,1,1
521,MEDIUM,1,0.0,1,2
522,LOW,0,0.0,0,0
523,LOW,0,0.0,0,0
524,LOW,0,0.0,0,4
525,LOW,0,0.0,1,7
526,LOW,0,0.0,1,3
527,MEDIUM,1,0.0,0,4
528,MEDIUM,1,0.0,2,4
529,LOW,0,0.0,0,3
530,LOW,0,0.0,0,0
531,LOW,0,0.0,1,4
532,LOW,0,0.0,0,6
533,MEDIUM,0,0.166667,0,5
534,LOW,0,0.0,1,4
535,MEDIUM,0,0.125,2,3
536,MEDIUM,1,0.0,2,0
537,LOW,0,0.0,1,6
538,HIGH,0,0.285714,0,6
539,LOW,0,0.0,0,6
540,LOW,0,0.0,0,6
541,HIGH,3,0.0,3,0
542,LOW,0,0.0,2,6
543,MEDIUM,1,0.0,0,5
544,LOW,0,0.0,0,0
545,MEDIUM,0,0.1,0,8
546,LOW,0,0.0,0,2
547,HIGH,2,0.0,5,0
548,LOW,0,0.0,0,3
549,MEDIUM,0,0.142857,0,0
550,MEDIUM,0,0.111111,0,9
551,LOW,0,0.0,0,6
552,LOW,0,0.0,1,3
553,MEDIUM,0,0.125,0,5
554,LOW,0,0.0,0,2
555,LOW,0,0.0,1,1
556,LOW,0,0.0,1,0
557,LOW,0,0.0,0,1
558,MEDIUM,0,0.111111,0,7
559,MEDIUM,1,0.166667,0,2
560,LOW,0,0.0,0,6
561,MEDIUM,0,0.125,1,3
562,LOW,0,0.0,1,3
563,LOW,0,0.0,1,0
564,LOW,0,0.0,1,1
565,HIGH,0,0.2,0,3
566,MEDIUM,1,0.0,2,2
567,LOW,0,0.0,0,0
568,LOW,0,0.0,0,4
569,LOW,0,0.0,0,3
570,LOW,0,0.0,0,0
571,LOW,0,0.0,0,5
572,MEDIUM,0,0.142857,0,0
573,MEDIUM,0,0.166667,0,0
574,HIGH,2,0.0,4,0
575,LOW,0,0.0,0,0
576,LOW,0,0.0,1,10
577,LOW,0,0.0,0,4
578,MEDIUM,0,0.111111,0,7
579,LOW,0,0.0,0,7
580,LOW,0,0.0,1,4
581,MEDIUM,1,0.0,1,4
582,LOW,0,0.0,0,0
583,MEDIUM,0,0.166667,0,0
584,HIGH,2,0.0,2,1
585,LOW,0,0.066667,0,13
586,LOW,0,0.0,1,2
587,MEDIUM,1,0.0,2,6
588,LOW,0,0.0,3,2
589,MEDIUM,1,0.0,1,1
590,LOW,0,0.0,1,3
591,HIGH,2,0.0,1,0
592,LOW,0,0.0,0,4
593,LOW,0,0.0,0,0
594,LOW,0,0.0,0,4
595,LOW,0,0.0,0,0
596,LOW,0,0.090909,1,7
597,LOW,0,0.0,0,0
598,LOW,0,0.0,1,6
599,MEDIUM,1,0.0,1,1
600,LOW,0,0.0,0,2
601,HIGH,0,0.2,0,3
602,MEDIUM,0,0.125,0,7
603,LOW,0,0.0,0,7
604,LOW,0,0.0,1,3
605,LOW,0,0.0,2,4
606,LOW,0,0.0,0,0
607,LOW,0,0.0,1,7
608,LOW,0,0.0,0,6
609,MEDIUM,0,0.142857,1,3
610,LOW,0,0.0,1,2
611,MEDIUM,0,0.166667,1,2
612,LOW,0,0.0,0,0
613,LOW,0,0.0,0,3
614,LOW,0,0.0,0,0
615,LOW,0,0.0,0,7
616,LOW,0,0.0,1,2
617,LOW,0,0.0,3,0
618,LOW,0,0.0,0,0
619,LOW,0,0.0,1,5
620,LOW,0,0.0,0,7
621,LOW,0,0.0,0,0
622,LOW,0,0.0,0,0
623,LOW,0,0.0,1,3
624,HIGH,3,0.0,3,3
625,LOW,0,0.0,0,5
626,LOW,0,0.0,1,0
627,LOW,0,0.0,0,5
628,LOW,0,0.0,1,2
629,LOW,0,0.0,0,8
630,LOW,0,0.0,1,2
631,MEDIUM,1,0.0,0,0
632,HIGH,2,0.111111,3,1
633,LOW,0,0.0,2,5
634,HIGH,2,0.0,1,2
635,LOW,0,0.0,0,0
636,LOW,0,0.0,1,4
637,LOW,0,0.0,0,0
638,MEDIUM,0,0.125,0,0
639,LOW,0,0.0,0,5
640,LOW,0,0.0,0,6
641,LOW,0,0.0,0,8
642,LOW,0,0.0,1,4
643,LOW,0,0.0,1,0
644,LOW,0,0.0,1,1
645,LOW,0,0.0,1,6
646,LOW,0,0.0,0,2
647,LOW,0,0.0,0,0
648,HIGH,0,0.333333,0,2
649,LOW,0,0.090909,1,7
650,LOW,0,0.0,0,5
651,MEDIUM,0,0.142857,0,0
652,MEDIUM,1,0.0,0,0
653,LOW,0,0.0,0,0
654,MEDIUM,0,0.125,0,0
655,MEDIUM,1,0.0,4,3
656,LOW,0,0.0,1,7
657,MEDIUM,0,0.111111,2,4
658,LOW,0,0.0,0,0
659,LOW,0,0.0,0,0
660,LOW,0,0.0,1,2
661,LOW,0,0.0,0,3
662,MEDIUM,0,0.166667,0,0
663,MEDIUM,1,0.0,0,1
664,LOW,0,0.0,0,3
665,LOW,0,0.0,0,6
666,LOW,0,0.0,1,1
667,MEDIUM,0,0.125,0,6
668,LOW,0,0.0,1,3
669,LOW,0,0.0,0,5
670,LOW,0,0.0,0,6
671,LOW,0,0.0,0,6
672,LOW,0,0.0,0,4
673,LOW,0,0.0,0,7
674,MEDIUM,1,0.0,0,3
675,LOW,0,0.0,0,5
676,LOW,0,0.0,0,3
677,LOW,0,0.0,0,3
678,HIGH,0,0.25,0,2
679,HIGH,3,0.0,3,0
680,LOW,0,0.0,0,0
681,MEDIUM,1,0.0,1,1
682,MEDIUM,1,0.0,1,0
683,LOW,0,0.0,0,0
684,LOW,0,0.0,0,3
685,LOW,0,0.0,1,5
686,HIGH,0,0.2,0,5
687,LOW,0,0.0,1,5
688,LOW,0,0.0,0,2
689,LOW,0,0.0,1,0
690,HIGH,1,0.2,1,1
691,LOW,0,0.0,1,4
692,LOW,0,0.0,0,4
693,MEDIUM,1,0.0,2,6
694,MEDIUM,0,0.1,1,6
695,LOW,0,0.0,1,7
696,MEDIUM,1,0.0,1,3
697,LOW,0,0.0,0,6
698,LOW,0,0.0,1,3
699,LOW,0,0.0,0,7
700,MEDIUM,1,0.0,0,0
701,MEDIUM,1,0.0,1,2
702,LOW,0,0.0,0,0
703,LOW,0,0.0,0,0
704,LOW,0,0.0,0,2
705,HIGH,0,0.25,0,0
706,LOW,0,0.0,0,5
707,LOW,0,0.0,0,3
708,MEDIUM,0,0.166667,1,4
709,HIGH,2,0.0,2,0
710,LOW,0,0.0,1,5
711,LOW,0,0.0,0,5
712,LOW,0,0.0,1,4
713,LOW,0,0.0,0,5
714,LOW,0,0.0,1,8
715,LOW,0,0.0,1,0
716,HIGH,0,0.5,0,2
717,HIGH,2,0.2,2,0
718,LOW,0,0.0,0,1
719,HIGH,3,0.0,3,1
720,MEDIUM,0,0.111111,1,5
721,LOW,0,0.0,0,5
722,MEDIUM,0,0.125,1,4
723,LOW,0,0.0,0,3
724,MEDIUM,1,0.0,2,5
725,LOW,0,0.0,1,4
726,LOW,0,0.0,0,7
727,LOW,0,0.0,0,6
728,MEDIUM,0,0.125,0,6
729,LOW,0,0.0,0,0
730,LOW,0,0.0,0,4
731,HIGH,0,0.333333,0,3
732,MEDIUM,1,0.0,2,4
733,MEDIUM,1,0.0,2,0
734,LOW,0,0.0,0,0
735,LOW,0,0.0,0,0
736,LOW,0,0.0,2,6
737,LOW,0,0.0,1,3
738,HIGH,2,0.0,2,1
739,MEDIUM,1,0.0,2,3
740,LOW,0,0.0,0,0
741,MEDIUM,1,0.0,1,1
742,LOW,0,0.0,1,6
743,LOW,0,0.0,0,5
744,LOW,0,0.0,0,8
745,LOW,0,0.0,0,2
746,MEDIUM,1,0.0,2,0
747,HIGH,0,0.4,0,4
748,LOW,0,0.0,0,5
749,MEDIUM,1,0.0,1,4
750,HIGH,0,0.25,2,0
751,LOW,0,0.0,0,5
752,LOW,0,0.0,0,8
753,LOW,0,0.0,0,8
754,MEDIUM,1,0.0,1,5
755,MEDIUM,1,0.0,2,0
756,LOW,0,0.0,0,5
757,LOW,0,0.0,1,5
758,LOW,0,0.0,0,6
759,MEDIUM,1,0.0,1,0
760,LOW,0,0.0,0,0
761,MEDIUM,1,0.142857,1,0
762,LOW,0,0.0,0,6
763,LOW,0,0.0,1,0
764,MEDIUM,1,0.0,0,3
765,LOW,0,0.0,0,5
766,MEDIUM,0,0.111111,1,7
767,LOW,0,0.0,0,7
768,LOW,0,0.0,0,5
769,LOW,0,0.0,0,0
770,HIGH,2,0.0,2,2
771,HIGH,2,0.0,2,1
772,MEDIUM,0,0.166667,1,3
773,HIGH,0,0.25,0,4
774,LOW,0,0.0,0,0
775,LOW,0,0.0,0,5
776,HIGH,2,0.0,3,3
777,MEDIUM,0,0.142857,2,3
778,MEDIUM,0,0.142857,1,5
779,LOW,0,0.0,0,7
780,LOW,0,0.0,0,2
781,LOW,0,0.0,0,8
782,LOW,0,0.0,0,4
783,LOW,0,0.0,1,1
784,LOW,0,0.0,0,8
785,MEDIUM,1,0.0,1,6
786,LOW,0,0.0,0,0
787,LOW,0,0.0,1,2
788,MEDIUM,1,0.0,4,1
789,MEDIUM,1,0.0,1,1
790,MEDIUM,1,0.0,2,0
791,LOW,0,0.0,0,8
792,LOW,0,0.0,2,0
793,LOW,0,0.0,0,6
794,LOW,0,0.0,0,0
795,LOW,0,0.0,0,3
796,HIGH,3,0.0,5,1
797,MEDIUM,1,0.0,0,2
798,LOW,0,0.0,1,2
799,LOW,0,0.0,0,3
800,MEDIUM,1,0.0,2,0
801,MEDIUM,0,0.1,1,5
802,LOW,0,0.0,1,0
803,HIGH,0,0.25,0,0
804,MEDIUM,1,0.142857,0,2
805,LOW,0,0.0,0,4
806,LOW,0,0.0,1,2
807,HIGH,0,0.25,1,6
808,LOW,0,0.0,0,0
809,MEDIUM,1,0.0,1,0
810,LOW,0,0.0,0,6
811,LOW,0,0.0,0,7
812,LOW,0,0.0,0,0
813,LOW,0,0.0,0,5
814,LOW,0,0.0,1,4
815,MEDIUM,0,0.1,0,8
816,MEDIUM,1,0.066667,2,4
817,MEDIUM,0,0.166667,0,3
818,MEDIUM,0,0.125,0,8
819,LOW,0,0.0,0,1
820,LOW,0,0.0,1,2
