feature_id,account_id,transaction_count,successful_transactions,failed_transactions,failed_tx_ratio,total_volume,borrow_count,borrow_volume,repay_count,repay_volume,repayment_ratio,deposit_volume,withdrawal_volume,net_deposit_flow,unique_counterparties,unique_tokens,unique_protocols,active_days,historical_liquidation_count,borrow_to_repay_ratio,withdrawal_to_deposit_ratio,liquidation_rate,borrow_intensity,transactions_per_active_day,borrow_volume_ratio,repay_to_borrow_ratio,borrow_frequency,repay_frequency,withdrawal_pressure,deposit_retention_ratio,average_transaction_value,average_borrow_value,average_repay_value,future_liquidation_count,future_borrow_count,future_repay_count,future_failed_tx_ratio,risk_label,risk_label_id
11,11,17,17,0,0.0,50519.628586,2,13251.628024,11,13251.622287,1.0,0.0,8007.376465,-8007.376465,2,5,3,16,0,1.0,0.0,0.0,0.262307,1.0625,0.262307,1.0,0.125,0.6875,0.1585,0.0,2971.742858,6625.814012,1204.6929351818,0.0,0.0,7.0,0.0,LOW,0
12,12,12,12,0,0.0,54197.528875,1,1668.313266,1,1383.430892,0.829239,12136.345283,14076.865516,-1940.520233,5,5,4,12,0,1.205925,1.159893,0.0,0.030782,1.0,0.030782,0.829239,0.083333,0.083333,0.259733,-0.159893,4516.4607395833,1668.313266,1383.430892,0.0,0.0,5.0,0.0,LOW,0
13,13,10,9,1,0.1,21883.055264,3,6203.71811,3,4047.255813,0.652392,1836.712269,3941.238257,-2104.525988,1,5,3,9,1,1.532821,2.145811,0.333333,0.283494,1.111111,0.283494,0.652392,0.333333,0.333333,0.180105,-1.145811,2188.3055264,2067.9060366667,1349.085271,0.0,2.0,4.0,0.2,HIGH,2
14,14,13,13,0,0.0,74756.943141,2,15784.563263,2,6331.537962,0.401122,0.0,16430.182459,-16430.182459,4,5,3,13,2,2.493006,0.0,1.0,0.211145,1.0,0.211145,0.401122,0.153846,0.153846,0.219781,0.0,5750.5340877692,7892.2816315,3165.768981,0.0,1.0,2.0,0.125,MEDIUM,1
15,15,7,7,0,0.0,35256.153942,0,0.0,0,0.0,0.0,8796.452912,14077.770636,-5281.317724,4,5,3,7,0,0.0,1.600392,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3993,-0.600392,5036.5934202857,0.0,0.0,0.0,1.0,3.0,0.0,LOW,0
16,16,13,12,1,0.076923,58988.707479,2,8066.792728,2,5361.636891,0.664655,8311.871304,31331.65248,-23019.781176,2,5,3,13,1,1.504539,3.769506,0.5,0.136751,1.0,0.136751,0.664655,0.153846,0.153846,0.531147,-2.769506,4537.592883,4033.396364,2680.8184455,0.0,0.0,5.0,0.0,LOW,0
17,17,9,9,0,0.0,49003.219958,0,0.0,0,0.0,0.0,33040.090676,6392.997133,26647.093543,2,5,3,9,0,0.0,0.193492,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.130461,0.806508,5444.8022175556,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0
18,18,10,10,0,0.0,15237.900399,3,6459.680459,3,1027.481989,0.159061,0.0,6270.283913,-6270.283913,1,3,3,10,1,6.286904,0.0,0.333333,0.423922,1.0,0.423922,0.159061,0.3,0.3,0.411493,0.0,1523.7900399,2153.2268196667,342.4939963333,0.0,1.0,0.0,0.3333333333333333,HIGH,2
19,19,10,10,0,0.0,31557.645868,1,5445.40858,4,4757.619825,0.873694,0.0,14319.547581,-14319.547581,2,5,3,10,0,1.144566,0.0,0.0,0.172554,1.0,0.172554,0.873694,0.1,0.4,0.453758,0.0,3155.7645868,5445.40858,1189.40495625,0.0,1.0,1.0,0.16666666666666666,MEDIUM,1
20,20,11,11,0,0.0,68508.570469,1,9203.705306,1,8217.062991,0.892799,14364.008677,2511.23157,11852.777107,5,5,1,10,0,1.120072,0.174828,0.0,0.134344,1.1,0.134344,0.892799,0.1,0.1,0.036656,0.825172,6228.0518608182,9203.705306,8217.062991,0.0,0.0,4.0,0.0,LOW,0
21,21,16,15,1,0.0625,45317.091474,3,10457.70044,5,1300.965018,0.124403,6054.813134,9341.779585,-3286.966451,2,5,2,16,1,8.038418,1.542868,0.333333,0.230767,1.0,0.230767,0.124403,0.1875,0.3125,0.206143,-0.542868,2832.318217125,3485.9001466667,260.1930036,0.0,0.0,0.0,0.0,LOW,0
22,22,14,14,0,0.0,62836.360183,3,13376.642253,4,11687.220748,0.873704,6261.887441,6510.627889,-248.740448,5,5,2,14,0,1.144553,1.039723,0.0,0.212881,1.0,0.212881,0.873704,0.214286,0.285714,0.103612,-0.039723,4488.3114416429,4458.880751,2921.805187,0.0,0.0,9.0,0.09090909090909091,LOW,0
23,23,9,8,1,0.111111,36728.251753,4,16087.16941,0,0.0,0.0,6093.958194,0.0,6093.958194,0,4,1,9,3,0.0,0.0,0.75,0.438005,1.0,0.438005,0.0,0.444444,0.0,0.0,1.0,4080.9168614444,4021.7923525,0.0,3.0,3.0,0.0,0.0,HIGH,2
24,24,14,14,0,0.0,66542.196028,2,13737.385273,2,3507.909677,0.255355,0.0,7557.312919,-7557.312919,6,4,1,13,1,3.916117,0.0,0.5,0.206446,1.076923,0.206446,0.255355,0.153846,0.153846,0.113572,0.0,4753.014002,6868.6926365,1753.9548385,1.0,1.0,0.0,0.0,MEDIUM,1
25,25,10,10,0,0.0,35014.050687,2,4772.717318,4,4749.181994,0.995069,7578.009642,4374.525813,3203.483829,2,4,3,10,0,1.004956,0.577266,0.0,0.136309,1.0,0.136309,0.995069,0.2,0.4,0.124936,0.422734,3501.4050687,2386.358659,1187.2954985,0.0,0.0,4.0,0.0,LOW,0
26,26,10,10,0,0.0,18469.475861,1,9234.73867,9,9234.737191,1.0,0.0,0.0,0.0,0,5,3,9,0,1.0,0.0,0.0,0.5,1.111111,0.5,1.0,0.111111,1.0,0.0,0.0,1846.9475861,9234.73867,1026.0819101111,0.0,0.0,4.0,0.0,LOW,0
27,27,10,9,1,0.1,38590.125423,0,0.0,0,0.0,0.0,47.368408,3158.980273,-3111.611865,8,5,3,10,0,0.0,66.689602,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08186,-65.689602,3859.0125423,0.0,0.0,0.0,1.0,1.0,0.2,HIGH,2
28,28,18,18,0,0.0,49867.204292,1,7897.497109,10,7897.438639,0.999993,791.511253,8276.970002,-7485.458749,5,5,4,18,0,1.000007,10.457173,0.0,0.158371,1.0,0.158371,0.999993,0.055556,0.555556,0.16598,-9.457173,2770.4002384444,7897.497109,789.7438639,0.0,0.0,3.0,0.0,LOW,0
29,29,13,13,0,0.0,64559.92684,3,15368.82818,1,785.776756,0.051128,14507.907633,10983.889313,3524.01832,4,5,3,12,1,19.558772,0.757097,0.333333,0.238055,1.083333,0.238055,0.051128,0.25,0.083333,0.170135,0.242903,4966.1482184615,5122.9427266667,785.776756,2.0,2.0,2.0,0.0,HIGH,2
30,30,7,7,0,0.0,14887.034586,2,4366.674042,3,3087.930871,0.707159,653.075663,0.0,653.075663,1,4,2,6,0,1.41411,0.0,0.0,0.293321,1.166667,0.293321,0.707159,0.333333,0.5,0.0,1.0,2126.7192265714,2183.337021,1029.3102903333,0.0,1.0,3.0,0.0,LOW,0
31,31,8,8,0,0.0,47756.349223,2,11512.533089,2,3881.235425,0.337131,0.0,6379.040949,-6379.040949,2,4,4,8,1,2.966203,0.0,0.5,0.241068,1.0,0.241068,0.337131,0.25,0.25,0.133575,0.0,5969.543652875,5756.2665445,1940.6177125,1.0,3.0,0.0,0.0,MEDIUM,1
32,32,18,18,0,0.0,24444.604063,1,611.247149,11,611.204078,0.99993,0.0,2935.442774,-2935.442774,5,5,4,17,0,1.00007,0.0,0.0,0.025005,1.058824,0.025005,0.99993,0.058824,0.647059,0.120086,0.0,1358.0335590556,611.247149,55.5640070909,0.0,0.0,3.0,0.0,LOW,0
33,33,20,18,2,0.1,91755.061857,4,19874.25834,1,1612.147254,0.081117,23359.387265,14451.722174,8907.665091,6,5,3,17,2,12.327818,0.618669,0.5,0.216601,1.176471,0.216601,0.081117,0.235294,0.058824,0.157503,0.381331,4587.75309285,4968.564585,1612.147254,2.0,4.0,1.0,0.125,HIGH,2
34,34,8,8,0,0.0,53139.758289,0,0.0,0,0.0,0.0,24034.710268,1221.164059,22813.546209,4,4,1,7,0,0.0,0.050808,0.0,0.0,1.142857,0.0,0.0,0.0,0.0,0.02298,0.949192,6642.469786125,0.0,0.0,0.0,1.0,1.0,0.0,LOW,0
35,35,16,16,0,0.0,86406.748186,1,7535.44388,0,0.0,0.0,15416.905328,15842.514622,-425.609294,11,5,4,16,0,0.0,1.027607,0.0,0.087209,1.0,0.087209,0.0,0.0625,0.0,0.183348,-0.027607,5400.421761625,7535.44388,0.0,0.0,0.0,7.0,0.0,LOW,0
36,36,14,14,0,0.0,49270.038381,2,12642.710013,6,12569.009657,0.994171,9783.672406,1974.192637,7809.479769,3,5,3,13,0,1.005864,0.201784,0.0,0.2566,1.076923,0.2566,0.994171,0.153846,0.461538,0.040069,0.798216,3519.2884557857,6321.3550065,2094.8349428333,0.0,1.0,4.0,0.0,LOW,0
37,37,12,12,0,0.0,66878.117013,0,0.0,0,0.0,0.0,30183.082878,4962.064549,25221.018329,7,5,1,12,0,0.0,0.164399,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.074196,0.835601,5573.17641775,0.0,0.0,0.0,1.0,7.0,0.0,LOW,0
38,38,17,17,0,0.0,44177.297703,2,8464.920167,9,7410.625467,0.875451,12589.262676,0.0,12589.262676,3,5,4,16,1,1.142268,0.0,0.5,0.191612,1.0625,0.191612,0.875451,0.125,0.5625,0.0,1.0,2598.6645707647,4232.4600835,823.4028296667,0.0,0.0,8.0,0.0,LOW,0
39,39,20,20,0,0.0,38490.011055,4,18911.053959,14,18604.524397,0.983791,0.0,0.0,0.0,1,5,2,17,1,1.016476,0.0,0.25,0.491324,1.176471,0.491324,0.983791,0.235294,0.823529,0.0,0.0,1924.50055275,4727.76348975,1328.8945997857,0.0,0.0,4.0,0.0,LOW,0
40,40,13,13,0,0.0,33379.124114,1,9007.690871,9,9007.320376,0.999959,0.0,0.0,0.0,3,5,4,12,0,1.000041,0.0,0.0,0.26986,1.083333,0.26986,0.999959,0.083333,0.75,0.0,0.0,2567.6249318462,9007.690871,1000.8133751111,0.0,0.0,5.0,0.0,LOW,0
41,41,15,15,0,0.0,49266.453104,2,11319.617933,7,11273.585224,0.995933,0.0,7586.399554,-7586.399554,4,4,4,14,1,1.004083,0.0,0.5,0.229763,1.071429,0.229763,0.995933,0.142857,0.5,0.153987,0.0,3284.4302069333,5659.8089665,1610.5121748571,1.0,1.0,4.0,0.0,MEDIUM,1
42,42,13,12,1,0.076923,60416.219631,4,22083.785054,4,13247.29527,0.599865,0.0,0.0,0.0,3,3,2,11,2,1.667041,0.0,0.5,0.365527,1.181818,0.365527,0.599865,0.363636,0.363636,0.0,0.0,4647.4015100769,5520.9462635,3311.8238175,1.0,1.0,4.0,0.14285714285714285,MEDIUM,1
43,43,13,13,0,0.0,28737.290037,1,3333.672826,6,3333.574128,0.99997,13095.153465,5035.421809,8059.731656,2,5,4,13,0,1.00003,0.384526,0.0,0.116005,1.0,0.116005,0.99997,0.076923,0.461538,0.175223,0.615474,2210.5607720769,3333.672826,555.595688,0.0,2.0,7.0,0.0,LOW,0
44,44,9,8,1,0.111111,48738.937908,0,0.0,0,0.0,0.0,6840.35252,7839.161005,-998.808485,5,5,1,9,0,0.0,1.146017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16084,-0.146017,5415.4375453333,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0
45,45,14,13,1,0.071429,19271.802177,1,321.966891,5,318.507011,0.989254,0.0,2488.595372,-2488.595372,7,5,1,13,0,1.010863,0.0,0.0,0.016707,1.076923,0.016707,0.989254,0.076923,0.384615,0.129131,0.0,1376.5572983571,321.966891,63.7014022,1.0,0.0,3.0,0.0,MEDIUM,1
46,46,11,11,0,0.0,44550.738689,1,9112.608339,5,8700.475905,0.954773,0.0,16492.59425,-16492.59425,2,5,4,10,0,1.047369,0.0,0.0,0.204544,1.1,0.204544,0.954773,0.1,0.5,0.370198,0.0,4050.0671535455,9112.608339,1740.095181,0.0,0.0,6.0,0.0,LOW,0
47,47,14,14,0,0.0,74514.06586,0,0.0,0,0.0,0.0,26523.149804,1974.858159,24548.291645,9,4,2,13,0,0.0,0.074458,0.0,0.0,1.076923,0.0,0.0,0.0,0.0,0.026503,0.925542,5322.4332757143,0.0,0.0,0.0,1.0,6.0,0.1111111111111111,MEDIUM,1
48,48,9,9,0,0.0,41657.649788,1,7265.843583,3,7170.79725,0.986919,18020.690954,2606.150418,15414.540536,1,5,2,9,0,1.013255,0.14462,0.0,0.174418,1.0,0.174418,0.986919,0.111111,0.333333,0.062561,0.85538,4628.6277542222,7265.843583,2390.26575,0.0,0.0,5.0,0.0,LOW,0
49,49,11,11,0,0.0,53991.080591,0,0.0,0,0.0,0.0,0.0,7823.16104,-7823.16104,8,4,3,10,0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.144897,0.0,4908.2800537273,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0
50,50,18,18,0,0.0,58800.67441,2,14999.840952,10,14999.166971,0.999955,0.0,4371.646327,-4371.646327,4,5,2,18,0,1.000045,0.0,0.0,0.255096,1.0,0.255096,0.999955,0.111111,0.555556,0.074347,0.0,3266.7041338889,7499.920476,1499.9166971,0.0,0.0,5.0,0.0,LOW,0
51,51,14,14,0,0.0,70714.189756,2,11583.697387,2,2829.182982,0.244238,0.0,19299.825213,-19299.825213,5,5,3,14,1,4.094361,0.0,0.5,0.16381,1.0,0.16381,0.244238,0.142857,0.142857,0.272927,0.0,5051.013554,5791.8486935,1414.591491,0.0,1.0,8.0,0.08333333333333333,LOW,0
52,52,14,14,0,0.0,73624.19582,0,0.0,0,0.0,0.0,24323.017988,5841.689524,18481.328464,8,5,1,13,0,0.0,0.240171,0.0,0.0,1.076923,0.0,0.0,0.0,0.0,0.079345,0.759829,5258.87113,0.0,0.0,0.0,1.0,3.0,0.0,LOW,0
53,53,11,10,1,0.090909,31859.92895,1,926.268469,5,923.031095,0.996505,0.0,2635.418561,-2635.418561,4,4,1,9,0,1.003507,0.0,0.0,0.029073,1.222222,0.029073,0.996505,0.111111,0.555556,0.082719,0.0,2896.3571772727,926.268469,184.606219,0.0,0.0,2.0,0.0,LOW,0
54,54,15,15,0,0.0,63827.890748,7,26109.984908,2,857.000472,0.032823,0.0,0.0,0.0,2,5,4,14,4,30.46671,0.0,0.571429,0.409069,1.071429,0.409069,0.032823,0.5,0.142857,0.0,0.0,4255.1927165333,3729.997844,428.500236,1.0,2.0,0.0,0.0,MEDIUM,1
55,55,11,11,0,0.0,33747.142105,1,3219.47295,4,2964.885156,0.920923,5705.542009,0.0,5705.542009,4,5,2,11,0,1.085868,0.0,0.0,0.0954,1.0,0.0954,0.920923,0.090909,0.363636,0.0,1.0,3067.9220095455,3219.47295,741.221289,0.0,1.0,5.0,0.125,MEDIUM,1
56,56,19,19,0,0.0,94309.241072,0,0.0,0,0.0,0.0,4110.170006,27726.147199,-23615.977193,12,5,2,18,0,0.0,6.745742,0.0,0.0,1.055556,0.0,0.0,0.0,0.0,0.293992,-5.745742,4963.6442669474,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0
57,57,13,13,0,0.0,42402.947,1,9342.315722,5,9313.122757,0.996875,412.346043,3200.66474,-2788.318697,4,5,2,13,0,1.003135,7.762084,0.0,0.220322,1.0,0.220322,0.996875,0.076923,0.384615,0.075482,-6.762084,3261.7651538462,9342.315722,1862.6245514,0.0,0.0,8.0,0.0,LOW,0
58,58,7,7,0,0.0,33933.696263,1,8179.040866,3,7985.434122,0.976329,0.0,0.0,0.0,3,4,2,7,0,1.024245,0.0,0.0,0.24103,1.0,0.24103,0.976329,0.142857,0.428571,0.0,0.0,4847.6708947143,8179.040866,2661.811374,0.0,0.0,7.0,0.0,LOW,0
59,59,13,13,0,0.0,69316.567708,1,7110.759972,0,0.0,0.0,9809.348702,22256.371065,-12447.022363,6,5,3,13,0,0.0,2.268894,0.0,0.102584,1.0,0.102584,0.0,0.076923,0.0,0.321083,-1.268894,5332.0436698462,7110.759972,0.0,0.0,0.0,2.0,0.0,LOW,0
60,60,11,11,0,0.0,45159.890703,1,8413.372224,3,8412.377636,0.999882,6277.804936,2746.210069,3531.594867,5,4,2,11,0,1.000118,0.437447,0.0,0.186302,1.0,0.186302,0.999882,0.090909,0.272727,0.060811,0.562553,4105.4446093636,8413.372224,2804.1258786667,0.0,0.0,4.0,0.0,LOW,0
61,61,7,6,1,0.142857,34694.732364,2,10938.428038,1,2478.188424,0.226558,6346.574906,0.0,6346.574906,3,4,4,7,0,4.413881,0.0,0.0,0.315276,1.0,0.315276,0.226558,0.285714,0.142857,0.0,1.0,4956.3903377143,5469.214019,2478.188424,1.0,1.0,1.0,0.0,MEDIUM,1
62,62,13,11,2,0.153846,5719.931461,1,1227.384157,11,1238.589211,1.0,0.0,0.0,0.0,1,5,3,13,0,0.990953,0.0,0.0,0.21458,1.0,0.21458,1.009129,0.076923,0.846154,0.0,0.0,439.9947277692,1227.384157,112.5990191818,1.0,0.0,2.0,0.0,MEDIUM,1
63,63,14,14,0,0.0,37661.921785,1,7030.703255,8,7030.054709,0.999908,7667.902811,0.0,7667.902811,3,5,3,14,0,1.000092,0.0,0.0,0.186679,1.0,0.186679,0.999908,0.071429,0.571429,0.0,1.0,2690.1372703571,7030.703255,878.756838625,0.0,0.0,8.0,0.0,LOW,0
64,64,14,14,0,0.0,57892.976376,1,8329.956618,6,8286.547514,0.994789,9367.495611,17340.806964,-7973.311353,3,5,3,14,0,1.005239,1.851168,0.0,0.143885,1.0,0.143885,0.994789,0.071429,0.428571,0.299532,-0.851168,4135.2125982857,8329.956618,1381.0912523333,0.0,0.0,2.0,0.0,LOW,0
65,65,14,14,0,0.0,59085.441922,1,4146.803436,3,4135.628963,0.997305,14223.875808,21132.354348,-6908.47854,4,5,3,13,1,1.002702,1.485696,1.0,0.070183,1.076923,0.070183,0.997305,0.076923,0.230769,0.357658,-0.485696,4220.3887087143,4146.803436,1378.5429876667,0.0,1.0,0.0,0.3333333333333333,HIGH,2
66,66,17,16,1,0.058824,15131.893019,1,640.616038,14,646.36026,1.0,13844.916721,0.0,13844.916721,0,5,2,16,0,0.991113,0.0,0.0,0.042335,1.0625,0.042335,1.008967,0.0625,0.875,0.0,1.0,890.1113540588,640.616038,46.16859,0.0,0.0,5.0,0.0,LOW,0
67,67,5,5,0,0.0,29510.159197,0,0.0,0,0.0,0.0,9940.787313,6221.563893,3719.22342,2,4,1,5,0,0.0,0.625862,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.210828,0.374138,5902.0318394,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0
68,68,11,10,1,0.090909,28883.501631,4,14190.3958,1,1105.458025,0.077902,0.0,0.0,0.0,4,4,2,11,2,12.836666,0.0,0.5,0.491298,1.0,0.491298,0.077902,0.363636,0.090909,0.0,0.0,2625.7728755455,3547.59895,1105.458025,0.0,1.0,4.0,0.0,LOW,0
69,69,11,11,0,0.0,10231.197872,1,537.797651,8,537.797531,1.0,8937.342736,0.0,8937.342736,1,4,4,11,0,1.0,0.0,0.0,0.052564,1.0,0.052564,1.0,0.090909,0.727273,0.0,1.0,930.1088974545,537.797651,67.224691375,0.0,0.0,6.0,0.0,LOW,0
70,70,13,12,1,0.076923,82225.344557,1,7565.491064,0,0.0,0.0,11586.95347,3317.875845,8269.077625,8,4,2,12,1,0.0,0.286346,1.0,0.092009,1.083333,0.092009,0.0,0.083333,0.0,0.040351,0.713654,6325.0265043846,7565.491064,0.0,0.0,0.0,0.0,0.0,LOW,0
71,71,12,10,2,0.166667,46331.137845,1,4238.394855,1,938.638462,0.221461,10941.806934,17520.387283,-6578.580349,3,5,3,12,1,4.515471,1.601233,1.0,0.09148,1.0,0.09148,0.221461,0.083333,0.083333,0.378156,-0.601233,3860.92815375,4238.394855,938.638462,0.0,2.0,2.0,0.0,LOW,0
72,72,9,9,0,0.0,55475.980881,1,8262.271161,0,0.0,0.0,0.0,18788.977296,-18788.977296,4,5,3,9,1,0.0,0.0,1.0,0.148934,1.0,0.148934,0.0,0.111111,0.0,0.338687,0.0,6163.9978756667,8262.271161,0.0,0.0,1.0,6.0,0.0,LOW,0
73,73,13,13,0,0.0,56404.18867,1,7659.574377,4,7651.067435,0.998889,4048.755982,0.0,4048.755982,6,5,2,13,1,1.001112,0.0,1.0,0.135798,1.0,0.135798,0.998889,0.076923,0.307692,0.0,1.0,4338.7837438462,7659.574377,1912.76685875,0.0,0.0,0.0,0.14285714285714285,MEDIUM,1
74,74,13,13,0,0.0,43862.086783,1,2236.706772,1,2030.054146,0.907609,13867.966893,7435.711917,6432.254976,6,5,4,12,0,1.101797,0.536179,0.0,0.050994,1.083333,0.050994,0.907609,0.083333,0.083333,0.169525,0.463821,3374.0066756154,2236.706772,2030.054146,0.0,0.0,1.0,0.0,LOW,0
75,75,10,8,2,0.2,25814.450361,2,11985.612287,7,9596.257578,0.800648,0.0,0.0,0.0,1,4,3,10,0,1.248988,0.0,0.0,0.464299,1.0,0.464299,0.800648,0.2,0.7,0.0,0.0,2581.4450361,5992.8061435,1370.8939397143,0.0,0.0,3.0,0.0,LOW,0
76,76,13,12,1,0.076923,42841.982489,2,10669.866048,6,10583.515593,0.991907,6377.499044,1533.470821,4844.028223,2,5,4,13,1,1.008159,0.24045,0.5,0.249052,1.0,0.249052,0.991907,0.153846,0.461538,0.035794,0.75955,3295.5371145385,5334.933024,1763.9192655,0.0,0.0,2.0,0.2,HIGH,2
77,77,16,16,0,0.0,47820.969866,1,768.395473,3,734.971006,0.956501,0.0,14063.789854,-14063.789854,8,5,2,14,0,1.045477,0.0,0.0,0.016068,1.142857,0.016068,0.956501,0.071429,0.214286,0.294093,0.0,2988.810616625,768.395473,244.9903353333,0.0,0.0,7.0,0.0,LOW,0
78,78,7,7,0,0.0,56236.041908,0,0.0,0,0.0,0.0,32807.749531,0.0,32807.749531,3,5,2,7,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8033.7202725714,0.0,0.0,0.0,1.0,1.0,0.0,LOW,0
79,79,14,13,1,0.071429,39312.114215,1,893.711251,6,1244.083942,1.0,0.0,21504.193815,-21504.193815,4,4,3,14,0,0.718369,0.0,0.0,0.022734,1.0,0.022734,1.392042,0.071429,0.428571,0.547012,0.0,2808.0081582143,893.711251,207.3473236667,0.0,0.0,4.0,0.0,LOW,0
80,80,14,14,0,0.0,10900.94365,1,2851.059938,11,2851.041573,0.999994,2475.366472,2723.475667,-248.109195,0,5,2,12,0,1.000006,1.100231,0.0,0.261542,1.166667,0.261542,0.999994,0.083333,0.916667,0.249839,-0.100231,778.6388321429,2851.059938,259.1855975455,0.0,0.0,9.0,0.0,LOW,0
81,81,11,11,0,0.0,49715.954968,1,258.352404,1,59.504101,0.230321,3373.299596,7650.246973,-4276.947377,7,5,2,11,0,4.341758,2.267882,0.0,0.005197,1.0,0.005197,0.230321,0.090909,0.090909,0.153879,-1.267882,4519.6322698182,258.352404,59.504101,0.0,1.0,8.0,0.0,LOW,0
82,82,14,13,1,0.071429,83808.456997,7,38304.034404,0,0.0,0.0,5559.492091,0.0,5559.492091,3,4,3,13,3,0.0,0.0,0.428571,0.457043,1.076923,0.457043,0.0,0.538462,0.0,0.0,1.0,5986.3183569286,5472.0049148571,0.0,1.0,2.0,2.0,0.14285714285714285,MEDIUM,1
83,83,14,14,0,0.0,64492.203128,0,0.0,0,0.0,0.0,15828.956807,25278.22914,-9449.272333,6,5,3,11,0,0.0,1.596961,0.0,0.0,1.272727,0.0,0.0,0.0,0.0,0.391958,-0.596961,4606.5859377143,0.0,0.0,0.0,1.0,3.0,0.0,LOW,0
